BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AB:04:21, 2012-03-03 15:19:20, -64, 1, 213, 10, GTwireless`∑h¿´
00:15:C7:AB:04:21, 2012-03-03 15:19:20, -64, 1, 213, 10, GTwireless`∑h¿´
00:13:10:43:4F:22, 2012-03-03 15:19:20, -59, 1, 4092, 7, OpenWrtess`∑h¿´
00:13:10:43:4F:22, 2012-03-03 15:19:20, -59, 1, 4092, 7, OpenWrtess`∑h¿´
00:15:C7:AA:D1:A4, 2012-03-03 15:19:20, -27, 1, 192, 5, GTwpartess`∑h¿´
00:15:C7:AA:D1:A4, 2012-03-03 15:19:20, -27, 1, 192, 5, GTwpartess`∑h¿´
00:15:C7:AA:D5:37, 2012-03-03 15:19:20, -58, 1, 3252, 9, GTvisitors`∑h¿´
00:15:C7:AA:D5:37, 2012-03-03 15:19:20, -58, 1, 3252, 9, GTvisitors`∑h¿´
00:15:C7:AA:D1:A7, 2012-03-03 15:19:20, -29, 1, 193, 9, GTvisitors`∑h¿´
00:15:C7:AA:D1:A7, 2012-03-03 15:19:20, -29, 1, 193, 9, GTvisitors`∑h¿´
00:15:C7:AA:D1:A1, 2012-03-03 15:19:20, -36, 1, 194, 10, GTwireless`∑h¿´
00:15:C7:AB:38:B1, 2012-03-03 15:19:20, -62, 1, 3877, 10, GTwireless`∑h¿´
00:13:10:43:4F:22, 2012-03-03 15:19:20, -60, 1, 4093, 7, OpenWrtess`∑h¿´
00:15:C7:AA:D1:A4, 2012-03-03 15:19:20, -32, 1, 195, 5, GTwpartess`∑h¿´
00:15:C7:AB:38:B4, 2012-03-03 15:19:20, -62, 1, 3878, 5, GTwpartess`∑h¿´
00:15:C7:AA:D1:A7, 2012-03-03 15:19:20, -32, 1, 196, 9, GTvisitors`∑h¿´
00:22:B0:CB:22:8F, 2012-03-03 15:19:20, -53, 3, 1376, 10, MC2LabNetA`∑h¿´
00:15:C7:AB:38:B7, 2012-03-03 15:19:20, -62, 1, 3879, 9, GTvisitorA`∑h¿´
00:15:C7:AA:D1:A1, 2012-03-03 15:19:20, -27, 1, 197, 10, GTwireless`∑h¿´
00:15:C7:AB:04:21, 2012-03-03 15:19:20, -64, 1, 219, 10, GTwireless`∑h¿´
00:13:10:43:4F:22, 2012-03-03 15:19:20, -62, 1, 4094, 7, OpenWrtess`∑h¿´
00:15:C7:AA:D5:37, 2012-03-03 15:19:20, -59, 1, 3256, 9, GTvisitors`∑h¿´
00:15:C7:AB:38:B4, 2012-03-03 15:19:20, -62, 1, 3881, 5, GTwpaitors`∑h¿´
00:22:B0:CB:22:8F, 2012-03-03 15:19:20, -55, 3, 1377, 10, MC2LabNetA`∑h¿´
00:15:C7:AB:38:B7, 2012-03-03 15:19:20, -61, 1, 3882, 9, GTvisitorA`∑h¿´
00:15:C7:AA:D1:A1, 2012-03-03 15:19:20, -24, 1, 200, 10, GTwireless`∑h¿´
00:15:C7:AB:04:21, 2012-03-03 15:19:20, -67, 1, 222, 10, GTwireless`∑h¿´
00:15:C7:AB:38:B1, 2012-03-03 15:19:20, -62, 1, 3883, 10, GTwireless`∑h¿´
00:13:10:43:4F:22, 2012-03-03 15:19:20, -62, 1, 4095, 7, OpenWrtess`∑h¿´
00:15:C7:AA:D1:A4, 2012-03-03 15:19:20, -25, 1, 201, 5, GTwpartess`∑h¿´
00:15:C7:AA:D5:37, 2012-03-03 15:19:20, -59, 1, 3259, 9, GTvisitors`∑h¿´
00:15:C7:AB:38:B4, 2012-03-03 15:19:20, -61, 1, 3884, 5, GTwpaitors`∑h¿´
00:15:C7:AB:38:B7, 2012-03-03 15:19:20, -62, 1, 3885, 9, GTvisitors`∑h¿´
00:15:C7:AA:D1:A1, 2012-03-03 15:19:20, -19, 1, 203, 10, GTwireless`∑h¿´
00:13:10:43:4F:22, 2012-03-03 15:19:20, -65, 1, 0, 7, OpenWrt
00:15:C7:AB:38:B7, 2012-03-03 15:19:20, -62, 1, 3888, 9, GTvisitor
00:15:C7:AB:38:B1, 2012-03-03 15:19:20, -62, 1, 3889, 10, GTwireless
00:13:10:43:4F:22, 2012-03-03 15:19:20, -65, 1, 1, 7, OpenWrtess
00:15:C7:AA:D1:A7, 2012-03-03 15:19:20, -16, 1, 208, 9, GTvisitor
00:15:C7:AB:38:B7, 2012-03-03 15:19:20, -62, 1, 3891, 9, GTvisitor
00:15:C7:AB:38:B1, 2012-03-03 15:19:20, -62, 1, 3892, 10, GTwireless
00:23:69:56:51:AB, 2012-03-03 15:19:20, -63, 3, 4000, 9, 
00:15:C7:AA:D1:A4, 2012-03-03 15:19:20, -15, 1, 210, 5, GTwpa
00:15:C7:AB:38:B4, 2012-03-03 15:19:20, -62, 1, 3893, 5, GTwpa
00:15:C7:AA:D1:A7, 2012-03-03 15:19:20, -16, 1, 211, 9, GTvisitor
00:15:C7:AB:38:B7, 2012-03-03 15:19:20, -62, 1, 3894, 9, GTvisitor
00:23:69:56:51:AB, 2012-03-03 15:19:20, -64, 3, 4001, 9, 
00:15:C7:AA:D1:A4, 2012-03-03 15:19:20, -16, 1, 213, 5, GTwpa
00:15:C7:AB:38:B4, 2012-03-03 15:19:20, -63, 1, 3896, 5, GTwpa
00:15:C7:AA:D1:A7, 2012-03-03 15:19:20, -16, 1, 214, 9, GTvisitor
00:15:C7:AB:38:B7, 2012-03-03 15:19:20, -63, 1, 3897, 9, GTvisitor
00:15:C7:AB:04:21, 2012-03-03 15:19:20, -64, 1, 237, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-03-03 15:19:20, -15, 1, 216, 5, GTwpaeless
00:15:C7:AA:D5:37, 2012-03-03 15:19:20, -58, 1, 3274, 9, GTvisitors
00:15:C7:AB:38:B7, 2012-03-03 15:19:20, -63, 1, 3900, 9, GTvisitors
00:15:C7:AA:D1:A1, 2012-03-03 15:19:20, -16, 1, 218, 10, GTwireless
00:15:C7:AA:D5:34, 2012-03-03 15:19:20, -58, 1, 3276, 5, GTwpaeless
00:15:C7:AB:38:B4, 2012-03-03 15:19:21, -63, 1, 3902, 5, GTwpaeless
00:15:C7:AA:D1:A7, 2012-03-03 15:19:21, -15, 1, 220, 9, GTvisitors
00:15:C7:AB:38:B7, 2012-03-03 15:19:21, -62, 1, 3903, 9, GTvisitors
00:15:C7:AB:04:21, 2012-03-03 15:19:21, -65, 1, 243, 10, GTwireless
00:13:10:43:4F:22, 2012-03-03 15:19:21, -59, 1, 6, 7, OpenWrtess
00:15:C7:AA:D1:A7, 2012-03-03 15:19:21, -16, 1, 223, 9, GTvisitors
00:15:C7:AB:38:B7, 2012-03-03 15:19:21, -65, 1, 3906, 9, GTvisitors
00:15:C7:AB:38:B1, 2012-03-03 15:19:21, -65, 1, 3907, 10, GTwireless
00:13:10:43:4F:22, 2012-03-03 15:19:21, -60, 1, 7, 7, OpenWrtess
00:15:C7:AA:D1:A4, 2012-03-03 15:19:21, -17, 1, 225, 5, GTwpartess
00:15:C7:AB:38:B4, 2012-03-03 15:19:21, -65, 1, 3908, 5, GTwpartess
00:15:C7:AA:D1:A7, 2012-03-03 15:19:21, -16, 1, 226, 9, GTvisitors
00:15:C7:AB:38:B7, 2012-03-03 15:19:21, -64, 1, 3909, 9, GTvisitors
00:15:C7:AB:38:B1, 2012-03-03 15:19:21, -65, 1, 3910, 10, GTwireless
00:23:69:56:51:AB, 2012-03-03 15:19:21, -67, 3, 4006, 9, 
00:13:10:43:4F:22, 2012-03-03 15:19:21, -62, 1, 8, 7, OpenWrt
00:15:C7:AA:D1:A4, 2012-03-03 15:19:21, -17, 1, 228, 5, GTwpart
00:15:C7:AB:38:B4, 2012-03-03 15:19:21, -65, 1, 3911, 5, GTwpart
00:15:C7:AB:04:27, 2012-03-03 15:19:21, -65, 1, 251, 9, GTvisitors
00:15:C7:AB:38:B7, 2012-03-03 15:19:21, -64, 1, 3912, 9, GTvisitors
00:15:C7:AA:D5:34, 2012-03-03 15:19:21, -58, 1, 3288, 5, GTwpaitors
00:15:C7:AB:38:B1, 2012-03-03 15:19:21, -62, 1, 3913, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-03-03 15:19:21, -15, 1, 231, 5, GTwpa
00:22:B0:CB:22:8F, 2012-03-03 15:19:21, -55, 3, 1388, 10, MC2LabNetA
00:15:C7:AB:06:01, 2012-03-03 15:19:21, -67, 1, 1150, 10, GTwireless
00:15:C7:AB:38:B1, 2012-03-03 15:19:21, -66, 1, 3916, 10, GTwireless
00:13:10:43:4F:22, 2012-03-03 15:19:21, -62, 1, 10, 7, OpenWrtess
00:15:C7:AA:D1:A4, 2012-03-03 15:19:21, -16, 1, 234, 5, GTwpa
00:15:C7:AB:04:27, 2012-03-03 15:19:21, -67, 1, 257, 9, GTvisitor
00:15:C7:AB:38:B1, 2012-03-03 15:19:21, -66, 1, 3919, 10, GTwireless
00:13:10:43:4F:22, 2012-03-03 15:19:21, -59, 1, 11, 7, OpenWrtess
00:15:C7:AA:D1:A4, 2012-03-03 15:19:21, -16, 1, 237, 5, GTwpartess
00:15:C7:AA:D5:34, 2012-03-03 15:19:21, -58, 1, 3297, 5, GTwpa
00:13:10:43:4F:22, 2012-03-03 15:19:21, -62, 1, 12, 7, OpenWrt
00:15:C7:AA:D1:A4, 2012-03-03 15:19:21, -21, 1, 243, 5, GTwpart
00:15:C7:AA:D1:A7, 2012-03-03 15:19:21, -21, 1, 244, 9, GTvisitor
00:15:C7:AA:D5:34, 2012-03-03 15:19:21, -58, 1, 3301, 5, GTwpaitor
00:13:10:43:4F:22, 2012-03-03 15:19:21, -62, 1, 13, 7, OpenWrtor
00:15:C7:AA:D1:A4, 2012-03-03 15:19:21, -21, 1, 246, 5, GTwpartor
00:15:C7:AA:D1:A7, 2012-03-03 15:19:21, -21, 1, 247, 9, GTvisitor
00:15:C7:AA:D1:A1, 2012-03-03 15:19:21, -22, 1, 248, 10, GTwireless
00:13:10:43:4F:22, 2012-03-03 15:19:21, -65, 1, 14, 7, OpenWrtess
00:15:C7:AA:D1:A4, 2012-03-03 15:19:21, -22, 1, 249, 5, GTwpartess
00:15:C7:AB:38:B4, 2012-03-03 15:19:21, -64, 1, 3932, 5, GTwpa
00:15:C7:AA:D1:A7, 2012-03-03 15:19:21, -21, 1, 250, 9, GTvisitor
00:15:C7:AB:38:B1, 2012-03-03 15:19:22, -62, 1, 3934, 10, GTwireless
00:13:10:43:4F:22, 2012-03-03 15:19:22, -62, 1, 15, 7, OpenWrtess
00:15:C7:AA:D1:A4, 2012-03-03 15:19:22, -22, 1, 252, 5, GTwpartess
00:15:C7:AA:D5:37, 2012-03-03 15:19:22, -58, 1, 3309, 9, GTvisitors
00:15:C7:AB:38:B4, 2012-03-03 15:19:22, -63, 1, 3935, 5, GTwpa
00:22:B0:CB:22:8F, 2012-03-03 15:19:22, -55, 3, 1394, 10, MC2LabNetA
00:15:C7:AB:38:B7, 2012-03-03 15:19:22, -64, 1, 3936, 9, GTvisitorA
00:15:C7:AA:D1:A1, 2012-03-03 15:19:22, -23, 1, 257, 10, GTwireless
00:13:10:43:4F:22, 2012-03-03 15:19:22, -63, 1, 16, 7, OpenWrtess
