BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AA:D1:A7, 2012-02-26 16:20:52, -29, 1, 3895, 9, GTvisitorÔ8Y∑h
00:15:C7:AA:D1:A7, 2012-02-26 16:20:52, -29, 1, 3895, 9, GTvisitorÔ8Y∑h
00:15:C7:AB:38:B7, 2012-02-26 16:20:52, -65, 1, 598, 9, GTvisitorÔ8Y∑h
00:15:C7:AB:38:B7, 2012-02-26 16:20:52, -65, 1, 598, 9, GTvisitorÔ8Y∑h
00:15:C7:AA:D5:37, 2012-02-26 16:20:52, -57, 1, 743, 9, GTvisitorÔ8Y∑h
00:15:C7:AA:D5:37, 2012-02-26 16:20:52, -57, 1, 743, 9, GTvisitorÔ8Y∑h
00:22:B0:CB:22:8F, 2012-02-26 16:20:52, -53, 3, 1087, 10, MC2LabNetA8Y∑h
00:22:B0:CB:22:8F, 2012-02-26 16:20:52, -53, 3, 1087, 10, MC2LabNetA8Y∑h
00:15:C7:AA:D1:A4, 2012-02-26 16:20:52, -31, 1, 3904, 5, GTwpabNetA8Y∑h
00:15:C7:AA:D1:A4, 2012-02-26 16:20:52, -31, 1, 3904, 5, GTwpabNetA8Y∑h
00:15:C7:AA:D1:A7, 2012-02-26 16:20:52, -29, 1, 3905, 9, GTvisitorA8Y∑h
00:15:C7:AA:D1:A7, 2012-02-26 16:20:52, -29, 1, 3905, 9, GTvisitorA8Y∑h
00:15:C7:AA:D1:A1, 2012-02-26 16:20:52, -38, 1, 3906, 10, GTwireless8Y∑h
00:15:C7:AA:D1:A1, 2012-02-26 16:20:52, -38, 1, 3906, 10, GTwireless8Y∑h
00:15:C7:AA:D5:34, 2012-02-26 16:20:52, -58, 1, 755, 5, GTwpaeless8Y∑h
00:15:C7:AA:D1:A7, 2012-02-26 16:20:52, -35, 1, 3908, 9, GTvisitors8Y∑h
00:15:C7:AA:D1:A1, 2012-02-26 16:20:52, -35, 1, 3912, 10, GTwireless8Y∑h
00:15:C7:AA:D5:31, 2012-02-26 16:20:52, -72, 1, 757, 10, GTwireless8Y∑h
00:15:C7:AB:04:21, 2012-02-26 16:20:52, -65, 1, 839, 10, GTwireless8Y∑h
00:15:C7:AB:38:B4, 2012-02-26 16:20:52, -62, 1, 616, 5, GTwpaeless8Y∑h
00:15:C7:AA:D5:34, 2012-02-26 16:20:52, -54, 1, 758, 5, GTwpaeless8Y∑h
00:15:C7:AA:D1:A7, 2012-02-26 16:20:52, -35, 1, 3914, 9, GTvisitors8Y∑h
00:15:C7:AB:38:B7, 2012-02-26 16:20:52, -62, 1, 617, 9, GTvisitors8Y∑h
00:15:C7:AA:D5:37, 2012-02-26 16:20:52, -55, 1, 759, 9, GTvisitors8Y∑h
94:44:52:FB:65:B2, 2012-02-26 16:20:52, -66, 1, 2593, 10, belkin.5b28Y∑h
08:1F:F3:B3:EB:44, 2012-02-26 16:20:52, -62, 1, 1087, 5, GTwpan.5b28Y∑h
00:15:C7:AA:D5:31, 2012-02-26 16:20:52, -61, 1, 760, 10, GTwireless8Y∑h
00:15:C7:AA:D1:A4, 2012-02-26 16:20:52, -33, 1, 3916, 5, GTwpaeless8Y∑h
00:15:C7:AA:D5:34, 2012-02-26 16:20:52, -59, 1, 761, 5, GTwpaeless8Y∑h
00:15:C7:AA:D1:A7, 2012-02-26 16:20:52, -35, 1, 3917, 9, GTvisitors8Y∑h
00:15:C7:AA:D5:37, 2012-02-26 16:20:52, -56, 1, 762, 9, GTvisitors8Y∑h
00:15:C7:AA:D1:A1, 2012-02-26 16:20:52, -29, 1, 3918, 10, GTwireless8Y∑h
08:1F:F3:B3:EB:41, 2012-02-26 16:20:52, -67, 1, 1091, 10, GTwireless8Y∑h
00:15:C7:AA:D1:A4, 2012-02-26 16:20:52, -26, 1, 3919, 5, GTwpaeless8Y∑h
00:15:C7:AA:D1:A7, 2012-02-26 16:20:52, -27, 1, 3920, 9, GTvisitor
00:15:C7:AB:38:B7, 2012-02-26 16:20:52, -62, 1, 623, 9, GTvisitor
00:15:C7:AA:D5:37, 2012-02-26 16:20:52, -56, 1, 765, 9, GTvisitor
00:15:C7:AA:D1:A1, 2012-02-26 16:20:52, -24, 1, 3921, 10, GTwireless
00:15:C7:AB:04:27, 2012-02-26 16:20:52, -62, 1, 847, 9, GTvisitors
00:15:C7:AA:D5:31, 2012-02-26 16:20:52, -53, 1, 766, 10, GTwireless
