BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AB:04:24, 2012-03-03 15:37:59, -63, 1, 3876, 5, GTwpaTc–øÔàE∑ò)
00:15:C7:AB:38:B4, 2012-03-03 15:37:59, -81, 1, 1179, 5, GTwpaTc–øÔàE∑ò)
00:15:C7:AB:04:21, 2012-03-03 15:37:59, -62, 1, 3878, 10, GTwirelessàE∑ò)
00:15:C7:AA:D5:34, 2012-03-03 15:37:59, -51, 1, 2914, 5, GTwpaelessàE∑ò)
00:15:C7:AA:D1:A4, 2012-03-03 15:37:59, -81, 1, 2654, 5, GTwpaelessàE∑ò)
00:15:C7:AA:D5:37, 2012-03-03 15:37:59, -52, 1, 2915, 9, GTvisitorsàE∑ò)
00:15:C7:AB:04:24, 2012-03-03 15:37:59, -63, 1, 3879, 5, GTwpaitorsàE∑ò)
00:15:C7:AA:D1:A7, 2012-03-03 15:37:59, -83, 1, 2655, 9, GTvisitorsàE∑ò)
00:15:C7:AB:38:B4, 2012-03-03 15:37:59, -83, 1, 1182, 5, GTwpaitorsàE∑ò)
00:15:C7:AB:04:27, 2012-03-03 15:37:59, -63, 1, 3880, 9, GTvisitorsàE∑ò)
00:15:C7:AA:D5:31, 2012-03-03 15:37:59, -52, 1, 2916, 10, GTwirelessàE∑ò)
00:15:C7:AB:38:B7, 2012-03-03 15:37:59, -82, 1, 1183, 9, GTvisitorsàE∑ò)
00:15:C7:AA:D1:A1, 2012-03-03 15:37:59, -82, 1, 2656, 10, GTwirelessàE∑ò)
00:15:C7:AB:04:21, 2012-03-03 15:37:59, -64, 1, 3881, 10, GTwirelessàE∑ò)
34:08:04:E1:48:58, 2012-03-03 15:37:59, -76, 2, 113, 7, stratusessàE∑ò)
00:15:C7:AB:38:B1, 2012-03-03 15:37:59, -83, 1, 1184, 10, GTwirelessàE∑ò)
00:15:C7:AA:D1:A4, 2012-03-03 15:37:59, -83, 1, 2657, 5, GTwpaelessàE∑ò)
00:15:C7:AA:D5:37, 2012-03-03 15:37:59, -52, 1, 2918, 9, GTvisitor
00:15:C7:AB:04:24, 2012-03-03 15:37:59, -64, 1, 3882, 5, GTwpaitor
00:15:C7:AB:38:B4, 2012-03-03 15:37:59, -83, 1, 1185, 5, GTwpaitor
00:16:9C:48:F1:04, 2012-03-03 15:37:59, -87, 1, 1920, 5, GTwpaitor
00:15:C7:AB:04:27, 2012-03-03 15:37:59, -64, 1, 3883, 9, GTvisitor
00:15:C7:AA:D5:31, 2012-03-03 15:37:59, -52, 1, 2919, 10, GTwireless
00:15:C7:AA:D1:A1, 2012-03-03 15:37:59, -81, 1, 2659, 10, GTwireless
00:15:C7:AB:04:21, 2012-03-03 15:37:59, -64, 1, 3884, 10, GTwireless
00:15:C7:AA:D5:34, 2012-03-03 15:37:59, -52, 1, 2920, 5, GTwpaeless
00:15:C7:AB:38:B1, 2012-03-03 15:37:59, -83, 1, 1187, 10, GTwireless
34:08:04:E1:48:58, 2012-03-03 15:37:59, -75, 2, 114, 7, stratusess
00:15:C7:AA:D5:37, 2012-03-03 15:38:00, -52, 1, 2921, 9, GTvisitor
00:15:C7:AB:38:B4, 2012-03-03 15:38:00, -83, 1, 1188, 5, GTwpaitor
00:15:C7:AB:04:27, 2012-03-03 15:38:00, -64, 1, 3886, 9, GTvisitor
00:15:C7:AA:D5:31, 2012-03-03 15:38:00, -52, 1, 2922, 10, GTwireless
00:15:C7:AB:38:B7, 2012-03-03 15:38:00, -81, 1, 1189, 9, GTvisitors
00:15:C7:AA:D1:A1, 2012-03-03 15:38:00, -80, 1, 2662, 10, GTwireless
00:15:C7:AB:04:21, 2012-03-03 15:38:00, -64, 1, 3887, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-03-03 15:38:00, -81, 1, 2663, 5, GTwpaeless
00:15:C7:AA:D5:37, 2012-03-03 15:38:00, -52, 1, 2924, 9, GTvisitor
00:15:C7:AB:04:24, 2012-03-03 15:38:00, -65, 1, 3888, 5, GTwpaitor
00:15:C7:AA:D1:A7, 2012-03-03 15:38:00, -82, 1, 2664, 9, GTvisitor
00:15:C7:AB:38:B4, 2012-03-03 15:38:00, -81, 1, 1191, 5, GTwpaitor
00:15:C7:AB:04:27, 2012-03-03 15:38:00, -65, 1, 3889, 9, GTvisitor
00:15:C7:AA:D5:31, 2012-03-03 15:38:00, -52, 1, 2925, 10, GTwireless
00:15:C7:AB:38:B7, 2012-03-03 15:38:00, -82, 1, 1192, 9, GTvisitors
00:15:C7:AA:D1:A1, 2012-03-03 15:38:00, -81, 1, 2665, 10, GTwireless
00:15:C7:AB:04:21, 2012-03-03 15:38:00, -66, 1, 3890, 10, GTwireless
00:15:C7:AA:D5:34, 2012-03-03 15:38:00, -53, 1, 2926, 5, GTwpaeless
34:08:04:E1:48:58, 2012-03-03 15:38:00, -75, 2, 116, 7, stratusess
00:15:C7:AB:38:B1, 2012-03-03 15:38:00, -83, 1, 1193, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-03-03 15:38:00, -80, 1, 2666, 5, GTwpaeless
00:15:C7:AA:D5:37, 2012-03-03 15:38:00, -52, 1, 2927, 9, GTvisitor
00:15:C7:AB:04:24, 2012-03-03 15:38:00, -64, 1, 3891, 5, GTwpaitor
00:15:C7:AA:D1:A7, 2012-03-03 15:38:00, -83, 1, 2667, 9, GTvisitor
00:15:C7:AB:38:B4, 2012-03-03 15:38:00, -85, 1, 1194, 5, GTwpaitor
00:15:C7:AB:04:27, 2012-03-03 15:38:00, -64, 1, 3892, 9, GTvisitor
00:15:C7:AA:D5:31, 2012-03-03 15:38:00, -52, 1, 2928, 10, GTwireless
00:15:C7:AB:38:B7, 2012-03-03 15:38:00, -83, 1, 1195, 9, GTvisitors
00:15:C7:AA:D1:A1, 2012-03-03 15:38:00, -81, 1, 2668, 10, GTwireless
00:15:C7:AB:04:21, 2012-03-03 15:38:00, -65, 1, 3893, 10, GTwireless
00:15:C7:AA:D5:34, 2012-03-03 15:38:00, -52, 1, 2929, 5, GTwpaeless
00:15:C7:AB:38:B1, 2012-03-03 15:38:00, -84, 1, 1196, 10, GTwireless
34:08:04:E1:48:58, 2012-03-03 15:38:00, -76, 2, 117, 7, stratusess
00:15:C7:AA:D1:A4, 2012-03-03 15:38:00, -82, 1, 2669, 5, GTwpausess
00:15:C7:AA:D5:37, 2012-03-03 15:38:00, -52, 1, 2930, 9, GTvisitor
00:15:C7:AB:04:24, 2012-03-03 15:38:00, -63, 1, 3894, 5, GTwpaitor
00:15:C7:AA:D1:A7, 2012-03-03 15:38:00, -81, 1, 2670, 9, GTvisitor
00:15:C7:AB:38:B4, 2012-03-03 15:38:00, -84, 1, 1197, 5, GTwpaitor
00:15:C7:AB:04:27, 2012-03-03 15:38:00, -63, 1, 3895, 9, GTvisitor
00:15:C7:AA:D5:31, 2012-03-03 15:38:00, -53, 1, 2931, 10, GTwireless
00:15:C7:AB:38:B7, 2012-03-03 15:38:00, -84, 1, 1198, 9, GTvisitors
00:15:C7:AB:04:21, 2012-03-03 15:38:00, -63, 1, 3896, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-03-03 15:38:00, -82, 1, 2672, 5, GTwpaeless
00:15:C7:AA:D5:37, 2012-03-03 15:38:00, -52, 1, 2933, 9, GTvisitor
00:15:C7:AB:04:24, 2012-03-03 15:38:00, -63, 1, 3897, 5, GTwpaitor
00:15:C7:AA:D1:A7, 2012-03-03 15:38:00, -81, 1, 2673, 9, GTvisitor
