Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;00:1C:57:40:C6:D1;;133;No;WEP;No;-1.0;0;0;0;3;0;0;3;;;Sat Mar  3 15:53:03 2012;Sat Mar  3 15:53:17 2012;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;00:12:44:B9:28:40;;108;No;OPN,None;No;-1.0;0;0;0;2;0;0;2;;;Sat Mar  3 15:52:57 2012;Sat Mar  3 15:53:17 2012;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;00:16:9C:49:28:10;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sat Mar  3 15:53:02 2012;Sat Mar  3 15:53:18 2012;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;shrub-1;00:14:85:D0:C3:6D;;6;No;OPN,None;No;54.0;0;76;0;0;0;0;0;;;Sat Mar  3 15:53:00 2012;Sat Mar  3 15:53:19 2012;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;mbs_network;00:1D:7E:BB:87:32;;6;No;WPA,TKIP;No;54.0;0;89;0;6;0;0;6;;;Sat Mar  3 15:53:00 2012;Sat Mar  3 15:53:15 2012;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;GTwpa;00:16:9C:48:F1:04;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;129;0;0;0;0;0;;;Sat Mar  3 15:52:40 2012;Sat Mar  3 15:52:59 2012;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;GTwireless;00:16:9C:48:F1:01;;1;No;WEP;No;54.0;0;135;0;0;0;0;0;;;Sat Mar  3 15:52:40 2012;Sat Mar  3 15:52:58 2012;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;OpenWrt;00:13:10:43:4F:22;;1;No;OPN,None;No;54.0;0;63;0;0;0;0;0;;;Sat Mar  3 15:52:40 2012;Sat Mar  3 15:53:40 2012;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;GTvisitor;00:16:9C:48:F1:07;;1;No;OPN,None;No;54.0;0;146;0;0;0;0;0;;;Sat Mar  3 15:52:40 2012;Sat Mar  3 15:53:00 2012;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;GTwireless;00:15:C7:AA:D1:A1;;1;No;WEP;No;54.0;0;192;0;909;0;0;909;;;Sat Mar  3 15:52:40 2012;Sat Mar  3 15:53:40 2012;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
