BSSID, time, power, channel, sequence, essid_length, ESSID
08:1F:F3:B3:EB:47, 2012-02-26 16:32:12, -83, 1, 309, 9, GTvisitorïè^·€ W	
00:15:C7:AA:D1:A1, 2012-02-26 16:32:12, -51, 1, 343, 10, GTwirelessè^·€ W	
34:08:04:E1:48:58, 2012-02-26 16:32:12, -74, 2, 63, 7, stratusessè^·€ W	
00:15:C7:AB:04:27, 2012-02-26 16:32:12, -82, 1, 1735, 9, GTvisitorsè^·€ W	
00:15:C7:AB:38:B1, 2012-02-26 16:32:12, -74, 1, 2206, 10, GTwirelessè^·€ W	
00:19:A9:43:1C:D4, 2012-02-26 16:32:12, -84, 1, 2828, 5, GTwpaelessè^·€ W	
00:15:C7:AA:D5:31, 2012-02-26 16:32:12, -61, 1, 1169, 10, GTwirelessè^·€ W	
08:1F:F3:B3:EB:44, 2012-02-26 16:32:12, -83, 1, 310, 5, GTwpaelessè^·€ W	
00:15:C7:AB:38:B4, 2012-02-26 16:32:12, -73, 1, 2207, 5, GTwpaelessè^·€ W	
00:15:C7:AA:D5:34, 2012-02-26 16:32:12, -62, 1, 1170, 5, GTwpaelessè^·€ W	
00:15:C7:AA:D1:A7, 2012-02-26 16:32:12, -52, 1, 345, 9, GTvisitorsè^·€ W	
94:44:52:FB:65:B2, 2012-02-26 16:32:12, -81, 1, 1396, 10, belkin.5b2è^·€ W	
00:15:C7:AB:38:B7, 2012-02-26 16:32:12, -73, 1, 2208, 9, GTvisitor2è^·€ W	
00:19:A9:43:1C:D1, 2012-02-26 16:32:12, -83, 1, 2830, 10, GTwirelessè^·€ W	
00:15:C7:AA:D5:37, 2012-02-26 16:32:12, -61, 1, 1171, 9, GTvisitorsè^·€ W	
00:15:C7:AB:04:24, 2012-02-26 16:32:12, -82, 1, 1737, 5, GTwpaitorsè^·€ W	
08:1F:F3:B3:EB:41, 2012-02-26 16:32:12, -83, 1, 311, 10, GTwirelessè^·€ W	
08:1F:F3:B3:EB:47, 2012-02-26 16:32:12, -86, 1, 312, 9, GTvisitorsè^·€ W	
00:15:C7:AB:04:27, 2012-02-26 16:32:12, -81, 1, 1738, 9, GTvisitorsè^·€ W	
00:15:C7:AB:38:B1, 2012-02-26 16:32:12, -73, 1, 2209, 10, GTwirelessè^·€ W	
34:08:04:E1:48:58, 2012-02-26 16:32:12, -75, 2, 64, 7, stratusessè^·€ W	
00:15:C7:AA:D5:31, 2012-02-26 16:32:12, -62, 1, 1172, 10, GTwirelessè^·€ W	
00:15:C7:AA:D1:A4, 2012-02-26 16:32:12, -52, 1, 347, 5, GTwpaelessè^·€ W	
00:19:A9:43:1C:D7, 2012-02-26 16:32:12, -83, 1, 2832, 9, GTvisitorsè^·€ W	
00:15:C7:AB:38:B4, 2012-02-26 16:32:12, -74, 1, 2210, 5, GTwpaitorsè^·€ W	
00:15:C7:AA:D5:34, 2012-02-26 16:32:12, -62, 1, 1173, 5, GTwpaitorsè^·€ W	
00:15:C7:AA:D1:A7, 2012-02-26 16:32:12, -54, 1, 348, 9, GTvisitorsè^·€ W	
94:44:52:FB:65:B2, 2012-02-26 16:32:12, -81, 1, 1397, 10, belkin.5b2è^·€ W	
00:15:C7:AB:38:B7, 2012-02-26 16:32:12, -74, 1, 2211, 9, GTvisitor2è^·€ W	
00:19:A9:43:1C:D1, 2012-02-26 16:32:12, -83, 1, 2833, 10, GTwirelessè^·€ W	
00:15:C7:AA:D5:37, 2012-02-26 16:32:12, -62, 1, 1174, 9, GTvisitorsè^·€ W	
00:15:C7:AB:04:24, 2012-02-26 16:32:12, -83, 1, 1740, 5, GTwpaitorsè^·€ W	
00:15:C7:AB:04:27, 2012-02-26 16:32:12, -83, 1, 1741, 9, GTvisitorsè^·€ W	
34:08:04:E1:48:58, 2012-02-26 16:32:12, -75, 2, 65, 7, stratusorsè^·€ W	
00:15:C7:AA:D5:31, 2012-02-26 16:32:12, -62, 1, 1175, 10, GTwirelessè^·€ W	
00:15:C7:AA:D1:A4, 2012-02-26 16:32:12, -53, 1, 350, 5, GTwpaelessè^·€ W	
00:15:C7:AB:04:21, 2012-02-26 16:32:12, -82, 1, 1742, 10, GTwirelessè^·€ W	
00:15:C7:AB:38:B4, 2012-02-26 16:32:12, -73, 1, 2213, 5, GTwpaelessè^·€ W	
08:1F:F3:B3:EB:44, 2012-02-26 16:32:12, -83, 1, 316, 5, GTwpaelessè^·€ W	
00:15:C7:AA:D5:34, 2012-02-26 16:32:12, -61, 1, 1176, 5, GTwpaelessè^·€ W	
00:15:C7:AA:D1:A7, 2012-02-26 16:32:12, -55, 1, 351, 9, GTvisitorsè^·€ W	
94:44:52:FB:65:B2, 2012-02-26 16:32:12, -78, 1, 1398, 10, belkin.5b2è^·€ W	
00:15:C7:AB:38:B7, 2012-02-26 16:32:12, -72, 1, 2214, 9, GTvisitor2è^·€ W	
00:19:A9:43:1C:D1, 2012-02-26 16:32:12, -83, 1, 2834, 10, GTwirelessè^·€ W	
00:15:C7:AA:D5:37, 2012-02-26 16:32:12, -61, 1, 1177, 9, GTvisitorsè^·€ W	
08:1F:F3:B3:EB:41, 2012-02-26 16:32:12, -83, 1, 317, 10, GTwirelessè^·€ W	
08:1F:F3:B3:EB:47, 2012-02-26 16:32:12, -85, 238, 318, 9, GTvisitorsè^·€ W	
00:15:C7:AA:D1:A1, 2012-02-26 16:32:12, -54, 1, 352, 10, GTwirelessè^·€ W	
00:15:C7:AB:04:27, 2012-02-26 16:32:12, -82, 1, 1744, 9, GTvisitorsè^·€ W	
00:15:C7:AB:38:B1, 2012-02-26 16:32:12, -73, 1, 2215, 10, GTwirelessè^·€ W	
00:19:A9:43:1C:D4, 2012-02-26 16:32:12, -83, 1, 2835, 5, GTwpaelessè^·€ W	
00:15:C7:AA:D5:31, 2012-02-26 16:32:12, -62, 1, 1178, 10, GTwirelessè^·€ W	
00:15:C7:AA:D1:A4, 2012-02-26 16:32:12, -54, 1, 353, 5, GTwpaelessè^·€ W	
00:19:A9:43:1C:D7, 2012-02-26 16:32:12, -83, 1, 2836, 9, GTvisitorsè^·€ W	
00:15:C7:AB:04:21, 2012-02-26 16:32:12, -82, 1, 1745, 10, GTwirelessè^·€ W	
00:15:C7:AB:38:B4, 2012-02-26 16:32:12, -73, 1, 2216, 5, GTwpaelessè^·€ W	
00:15:C7:AA:D5:34, 2012-02-26 16:32:12, -63, 1, 1179, 5, GTwpaelessè^·€ W	
