BSSID, time, power, channel, sequence, essid_length, ESSID
00:22:B0:CB:22:8F, 2012-02-26 16:13:31, -72, 3, 948, 10, MC2LabNetA(G·€ _
00:13:10:43:4F:22, 2012-02-26 16:13:31, -84, 1, 317, 7, OpenWrtetA(G·€ _
34:08:04:E1:48:58, 2012-02-26 16:13:31, -68, 2, 1398, 7, stratusetA(G·€ _
00:16:9C:48:F1:01, 2012-02-26 16:13:31, -85, 1, 2869, 10, GTwireless(G·€ _
00:15:C7:AA:D1:A4, 2012-02-26 16:13:31, -58, 1, 118, 5, GTwpaeless(G·€ _
00:15:C7:AB:38:B4, 2012-02-26 16:13:31, -85, 1, 2657, 5, GTwpaeless(G·€ _
00:15:C7:AA:D1:A7, 2012-02-26 16:13:31, -60, 1, 119, 9, GTvisitors(G·€ _
00:19:A9:43:1C:D1, 2012-02-26 16:13:31, -86, 1, 70, 10, GTwireless(G·€ _
00:15:C7:AA:D5:37, 2012-02-26 16:13:31, -77, 1, 1457, 9, GTvisitors(G·€ _
94:44:52:FB:65:B2, 2012-02-26 16:13:31, -80, 1, 2187, 10, belkin.5b2(G·€ _
00:16:9C:48:F1:07, 2012-02-26 16:13:31, -84, 1, 2871, 9, GTvisitor2(G·€ _
00:15:C7:AA:D1:A1, 2012-02-26 16:13:31, -57, 1, 120, 10, GTwireless(G·€ _
08:1F:F3:B3:EB:41, 2012-02-26 16:13:31, -85, 1, 937, 10, GTwirelesû(G·€ _
00:16:9C:48:F1:01, 2012-02-26 16:13:31, -85, 1, 2872, 10, GTwireless(G·€ _
34:08:04:E1:48:58, 2012-02-26 16:13:31, -69, 2, 1399, 7, stratusess(G·€ _
08:1F:F3:B3:EB:47, 2012-02-26 16:13:31, -86, 1, 938, 39, ¤
00:19:A9:43:1C:D7, 2012-02-26 16:13:31, -86, 1, 72, 9, GTvisitor/
00:15:C7:AA:D1:A4, 2012-02-26 16:13:31, -60, 1, 121, 5, GTwpaitor/
00:15:C7:AA:D5:34, 2012-02-26 16:13:31, -78, 1, 1459, 5, GTwpaitor/
00:16:9C:48:F1:04, 2012-02-26 16:13:31, -86, 1, 2873, 5, GTwpaitor/
00:15:C7:AA:D1:A7, 2012-02-26 16:13:31, -59, 1, 122, 9, GTvisitor/
00:15:C7:AA:D5:37, 2012-02-26 16:13:31, -78, 1, 1460, 9, GTvisitor/
94:44:52:FB:65:B2, 2012-02-26 16:13:31, -79, 1, 2188, 10, belkin.5b2
00:16:9C:48:F1:07, 2012-02-26 16:13:31, -85, 1, 2874, 9, GTvisitor2
00:15:C7:AA:D1:A1, 2012-02-26 16:13:31, -56, 1, 123, 10, GTwireless
68:32:46:BE:E0:BE, 2012-02-26 16:13:31, -85, -1, 2874, 0, GTwireless
00:13:10:43:4F:22, 2012-02-26 16:13:31, -86, 1, 319, 7, OpenWrtess
00:16:9C:48:F1:01, 2012-02-26 16:13:31, -84, 1, 2875, 10, GTwireless
34:08:04:E1:48:58, 2012-02-26 16:13:31, -68, 2, 1400, 7, stratusess
00:15:C7:AA:D1:A4, 2012-02-26 16:13:31, -56, 1, 124, 5, GTwpausess
00:16:9C:48:F1:04, 2012-02-26 16:13:31, -85, 1, 2876, 5, GTwpausess
00:15:C7:AA:D1:A7, 2012-02-26 16:13:31, -58, 1, 125, 9, GTvisitors
00:15:C7:AA:D5:37, 2012-02-26 16:13:31, -78, 1, 1463, 9, GTvisitors
94:44:52:FB:65:B2, 2012-02-26 16:13:31, -80, 1, 2190, 10, belkin.5b2
00:16:9C:48:F1:07, 2012-02-26 16:13:31, -85, 1, 2877, 9, GTvisitor2
00:15:C7:AA:D1:A1, 2012-02-26 16:13:31, -56, 1, 126, 10, GTwireless
00:13:10:43:4F:22, 2012-02-26 16:13:31, -87, 1, 320, 7, OpenWrtess
34:08:04:E1:48:58, 2012-02-26 16:13:31, -68, 2, 1401, 7, stratusess
00:16:9C:48:F1:01, 2012-02-26 16:13:31, -86, 1, 2878, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-02-26 16:13:31, -56, 1, 127, 5, GTwpaeless
00:15:C7:AB:38:B4, 2012-02-26 16:13:31, -84, 1, 2672, 5, GTwpaeless
00:15:C7:AA:D5:34, 2012-02-26 16:13:31, -77, 1, 1465, 5, GTwpaeless
