BSSID, time, power, channel, sequence, essid_length, ESSID
00:12:44:B9:1C:D1, 2012-03-03 15:35:28, -79, 11, 137, 10, GTwireless8E∑ò@L	
00:1C:0E:43:EB:14, 2012-03-03 15:35:28, -84, 11, 1234, 5, GTwpaeless8E∑ò@L	
00:22:B0:ED:60:DE, 2012-03-03 15:35:28, -66, 11, 1492, 5, dlinkeless8E∑ò@L	
00:15:C7:AA:D6:64, 2012-03-03 15:35:28, -60, 11, 125, 5, GTwpaeless8E∑ò@L	
00:0D:28:3E:95:A8, 2012-03-03 15:35:28, -82, 11, 1278, 4, johnaeless8E∑ò@L	
00:12:44:B9:1C:D7, 2012-03-03 15:35:28, -79, 11, 139, 9, GTvisitors8E∑ò@L	
C4:3D:C7:B0:AE:9F, 2012-03-03 15:35:28, -84, 11, 1723, 9, joon-ucaps8E∑ò@L	
00:1C:0E:43:EB:11, 2012-03-03 15:35:28, -84, 11, 1236, 10, GTwireless8E∑ò@L	
00:15:C7:AA:D6:61, 2012-03-03 15:35:28, -61, 11, 127, 10, GTwireless8E∑ò@L	
20:4E:7F:4A:74:78, 2012-03-03 15:35:28, -81, 11, 633, 7, BISmarkess8E∑ò@L	
C4:3D:C7:B0:AE:63, 2012-03-03 15:35:28, -83, 11, 1185, 7, BISmarkess8E∑ò@L	
00:12:44:B9:1C:D1, 2012-03-03 15:35:28, -81, 11, 140, 10, GTwireless8E∑ò@L	
00:1C:0E:43:EB:14, 2012-03-03 15:35:28, -85, 11, 1237, 5, GTwpaeless8E∑ò@L	
00:22:B0:ED:60:DE, 2012-03-03 15:35:28, -61, 11, 1494, 5, dlinkeless8E∑ò@L	
00:15:C7:AA:D6:64, 2012-03-03 15:35:28, -61, 11, 128, 5, GTwpaeless8E∑ò@L	
00:0D:28:3E:95:A8, 2012-03-03 15:35:28, -81, 11, 1279, 4, johnaeless8E∑ò@L	
00:15:C7:AB:04:21, 2012-03-03 15:35:28, -79, 1, 3188, 10, GTwireless8E∑ò@L	
00:15:C7:AA:D5:34, 2012-03-03 15:35:28, -71, 1, 1947, 5, GTwpaeless8E∑ò@L	
00:13:10:43:4F:22, 2012-03-03 15:35:28, -87, 1, 1736, 7, OpenWrtess8E∑ò@L	
00:15:C7:AA:D1:A4, 2012-03-03 15:35:28, -73, 1, 1711, 5, GTwpartess8E∑ò@L	
00:15:C7:AA:D5:37, 2012-03-03 15:35:28, -73, 1, 1948, 9, GTvisitors8E∑ò@L	
00:15:C7:AB:04:24, 2012-03-03 15:35:28, -78, 1, 3189, 5, GTwpaitors8E∑ò@L	
00:15:C7:AB:04:27, 2012-03-03 15:35:28, -79, 1, 3190, 9, GTvisitor
00:15:C7:AA:D5:31, 2012-03-03 15:35:28, -71, 1, 1949, 10, GTwireless
00:15:C7:AB:38:B7, 2012-03-03 15:35:28, -61, 1, 309, 9, GTvisitors
00:15:C7:AA:D1:A1, 2012-03-03 15:35:28, -73, 1, 1713, 10, GTwireless
00:15:C7:AB:04:21, 2012-03-03 15:35:28, -78, 1, 3191, 10, GTwireless
00:15:C7:AA:D5:34, 2012-03-03 15:35:28, -71, 1, 1950, 5, GTwpaeless
00:13:10:43:4F:22, 2012-03-03 15:35:28, -84, 1, 1737, 7, OpenWrtess
