Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;00:16:9C:49:28:10;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sun Feb 26 13:30:13 2012;Sun Feb 26 13:30:28 2012;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;00:15:C7:AB:38:B7;;108;No;OPN,None;No;-1.0;0;0;0;4;0;0;4;;;Sun Feb 26 13:29:54 2012;Sun Feb 26 13:30:08 2012;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;38.110.18.180;
3;infrastructure;GTvisitor;00:15:C7:AB:5A:87;;1;No;OPN,None;No;54.0;0;98;0;0;0;0;0;;;Sun Feb 26 13:29:51 2012;Sun Feb 26 13:30:51 2012;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;OpenWrt;00:13:10:43:4F:22;;1;No;OPN,None;No;54.0;0;1;0;0;0;0;0;;;Sun Feb 26 13:29:57 2012;Sun Feb 26 13:30:51 2012;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;00:15:C7:AB:38:B4;;108;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sun Feb 26 13:29:52 2012;Sun Feb 26 13:30:03 2012;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;belkin.5b2;94:44:52:FB:65:B2;;1;No;WPA2,AES-CCM;No;54.0;0;67;0;0;0;0;0;;;Sun Feb 26 13:29:51 2012;Sun Feb 26 13:30:51 2012;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;GTwireless;00:15:C7:AB:5A:81;;1;No;WEP;No;54.0;0;111;0;3;0;0;3;;;Sun Feb 26 13:29:51 2012;Sun Feb 26 13:30:11 2012;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;GTwpa;00:15:C7:AB:5A:84;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;92;0;1;0;0;1;;;Sun Feb 26 13:29:51 2012;Sun Feb 26 13:30:11 2012;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;GTwpa;9C:4E:20:C9:3F:94;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;24;0;0;0;0;0;;;Sun Feb 26 13:29:51 2012;Sun Feb 26 13:30:11 2012;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;GTvisitor;9C:4E:20:C9:3F:97;;1;No;OPN,None;No;54.0;0;17;0;0;0;0;0;;;Sun Feb 26 13:29:51 2012;Sun Feb 26 13:30:11 2012;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
