BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AA:D1:A1, 2012-03-03 15:47:07, -67, 1, 454, 10, GTwireless»]∑Ä†¢	
00:13:10:43:4F:22, 2012-03-03 15:47:07, -82, 1, 423, 7, OpenWrtess»]∑Ä†¢	
00:15:C7:AB:04:21, 2012-03-03 15:47:07, -77, 1, 636, 10, GTwireless»]∑Ä†¢	
00:15:C7:AA:D5:34, 2012-03-03 15:47:07, -55, 1, 2049, 5, GTwpaeless»]∑Ä†¢	
34:08:04:E1:48:58, 2012-03-03 15:47:07, -58, 2, 1222, 7, stratusess»]∑Ä†¢	
00:16:9C:48:F1:01, 2012-03-03 15:47:07, -81, 1, 2757, 10, GTwireless»]∑Ä†¢	
00:15:C7:AA:D1:A4, 2012-03-03 15:47:07, -65, 1, 455, 5, GTwpaeless»]∑Ä†¢	
00:15:C7:AA:D1:A7, 2012-03-03 15:47:07, -66, 1, 456, 9, GTvisitors»]∑Ä†¢	
00:15:C7:AB:38:B4, 2012-03-03 15:47:07, -86, 1, 2644, 5, GTwpaitors»]∑Ä†¢	
00:16:9C:48:F1:04, 2012-03-03 15:47:07, -80, 1, 2758, 5, GTwpaitors»]∑Ä†¢	
00:15:C7:AB:04:27, 2012-03-03 15:47:07, -78, 1, 638, 9, GTvisitors»]∑Ä†¢	
00:15:C7:AA:D5:31, 2012-03-03 15:47:07, -55, 1, 2051, 10, GTwireless»]∑Ä†¢	
00:15:C7:AB:38:B7, 2012-03-03 15:47:07, -85, 1, 2645, 9, GTvisitors»]∑Ä†¢	
00:16:9C:48:F1:07, 2012-03-03 15:47:07, -82, 1, 2759, 9, GTvisitors»]∑Ä†¢	
00:15:C7:AA:D1:A1, 2012-03-03 15:47:07, -67, 1, 457, 10, GTwireless»]∑Ä†¢	
00:13:10:43:4F:22, 2012-03-03 15:47:07, -81, 1, 424, 7, OpenWrtess»]∑Ä†¢	
00:15:C7:AB:04:21, 2012-03-03 15:47:07, -79, 1, 639, 10, GTwireless»]∑Ä†¢	
34:08:04:E1:48:58, 2012-03-03 15:47:07, -57, 2, 1223, 7, stratusess»]∑Ä†¢	
00:15:C7:AA:D5:34, 2012-03-03 15:47:07, -57, 1, 2052, 5, GTwpausess»]∑Ä†¢	
00:15:C7:AB:38:B1, 2012-03-03 15:47:07, -88, 73, 2646, 10, GTwireless»]∑Ä†¢	
00:16:9C:48:F1:01, 2012-03-03 15:47:07, -80, 1, 2760, 10, GTwireless»]∑Ä†¢	
00:15:C7:AA:D1:A4, 2012-03-03 15:47:07, -67, 1, 458, 5, GTwpaeless»]∑Ä†¢	
00:15:C7:AA:D1:A7, 2012-03-03 15:47:07, -65, 1, 462, 9, GTvisitors»]∑Ä†¢	
00:15:C7:AB:04:27, 2012-03-03 15:47:07, -80, 1, 644, 9, GTvisitors»]∑Ä†¢	
00:15:C7:AA:D5:31, 2012-03-03 15:47:07, -57, 1, 2057, 10, GTwireless»]∑Ä†¢	
00:15:C7:AB:38:B7, 2012-03-03 15:47:07, -88, 1, 2651, 9, GTvisitors»]∑Ä†¢	
00:16:9C:48:F1:07, 2012-03-03 15:47:07, -81, 1, 2765, 9, GTvisitors»]∑Ä†¢	
00:15:C7:AA:D1:A1, 2012-03-03 15:47:07, -66, 1, 463, 10, GTwireless»]∑Ä†¢	
00:15:C7:AB:06:01, 2012-03-03 15:47:07, -86, 1, 1534, 10, GTwireless»]∑Ä†¢	
00:13:10:43:4F:22, 2012-03-03 15:47:07, -79, 1, 425, 7, OpenWrtess»]∑Ä†¢	
34:08:04:E1:48:58, 2012-03-03 15:47:07, -56, 2, 1224, 7, stratusess»]∑Ä†¢	
00:15:C7:AA:D5:34, 2012-03-03 15:47:07, -56, 1, 2058, 5, GTwpausess»]∑Ä†¢	
00:16:9C:48:F1:01, 2012-03-03 15:47:07, -83, 1, 2766, 10, GTwireless»]∑Ä†¢	
00:15:C7:AA:D1:A4, 2012-03-03 15:47:07, -66, 1, 464, 5, GTwpaeless»]∑Ä†¢	
00:15:C7:AB:06:04, 2012-03-03 15:47:07, -86, 1, 1535, 5, GTwpaeless»]∑Ä†¢	
00:15:C7:AA:D1:A7, 2012-03-03 15:47:07, -66, 1, 468, 9, GTvisitors»]∑Ä†¢	
00:16:9C:48:F1:04, 2012-03-03 15:47:07, -84, 1, 2770, 5, GTwpaitors»]∑Ä†¢	
00:15:C7:AB:04:27, 2012-03-03 15:47:07, -82, 1, 647, 9, GTvisitors»]∑Ä†¢	
00:15:C7:AA:D5:31, 2012-03-03 15:47:07, -54, 1, 2063, 10, GTwireless»]∑Ä†¢	
00:15:C7:AA:D1:A1, 2012-03-03 15:47:07, -67, 1, 469, 10, GTwireless»]∑Ä†¢	
00:15:C7:AB:06:01, 2012-03-03 15:47:07, -85, 1, 1537, 10, GTwireless»]∑Ä†¢	
00:13:10:43:4F:22, 2012-03-03 15:47:07, -81, 1, 426, 7, OpenWrtess»]∑Ä†¢	
00:15:C7:AB:04:21, 2012-03-03 15:47:07, -83, 1, 648, 10, GTwireless»]∑Ä†¢	
00:15:C7:AA:D5:34, 2012-03-03 15:47:07, -52, 1, 2064, 5, GTwpaeless»]∑Ä†¢	
34:08:04:E1:48:58, 2012-03-03 15:47:07, -54, 2, 1225, 7, stratusess»]∑Ä†¢	
00:15:C7:AA:D1:A4, 2012-03-03 15:47:07, -68, 1, 470, 5, GTwpausess»]∑Ä†¢	
00:15:C7:AB:06:04, 2012-03-03 15:47:07, -84, 1, 1538, 5, GTwpausess»]∑Ä†¢	
