BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AB:06:07, 2012-03-03 15:53:02, -55, 1, 297, 9, GTvisitorÔ8a∑h¿h	
00:15:C7:AB:06:07, 2012-03-03 15:53:02, -55, 1, 297, 9, GTvisitorÔ8a∑h¿h	
00:15:C7:AA:D5:31, 2012-03-03 15:53:02, -57, 1, 1868, 10, GTwireless8a∑h¿h	
00:15:C7:AA:D5:31, 2012-03-03 15:53:02, -57, 1, 1868, 10, GTwireless8a∑h¿h	
00:16:9C:48:F1:07, 2012-03-03 15:53:02, -60, 1, 1649, 9, GTvisitors8a∑h¿h	
00:16:9C:48:F1:07, 2012-03-03 15:53:02, -60, 1, 1649, 9, GTvisitors8a∑h¿h	
00:15:C7:AA:D1:A1, 2012-03-03 15:53:02, -56, 1, 1900, 10, GTwireless8a∑h¿h	
00:15:C7:AA:D1:A1, 2012-03-03 15:53:02, -56, 1, 1900, 10, GTwireless8a∑h¿h	
00:15:C7:AB:06:01, 2012-03-03 15:53:02, -54, 1, 298, 10, GTwireless8a∑h¿h	
00:15:C7:AB:06:01, 2012-03-03 15:53:02, -54, 1, 298, 10, GTwireless8a∑h¿h	
00:13:10:43:4F:22, 2012-03-03 15:53:02, -63, 1, 3859, 7, OpenWrtess8a∑h¿h	
00:13:10:43:4F:22, 2012-03-03 15:53:02, -63, 1, 3859, 7, OpenWrtess8a∑h¿h	
00:23:69:56:51:AB, 2012-03-03 15:53:02, -67, 3, 3499, 9, 
00:23:69:56:51:AB, 2012-03-03 15:53:02, -67, 3, 3499, 9, 
34:08:04:E1:48:58, 2012-03-03 15:53:02, -51, 2, 472, 7, stratus
34:08:04:E1:48:58, 2012-03-03 15:53:02, -51, 2, 472, 7, stratus
00:15:C7:AA:D5:34, 2012-03-03 15:53:02, -57, 1, 1869, 5, GTwpaus
00:15:C7:AA:D5:34, 2012-03-03 15:53:02, -57, 1, 1869, 5, GTwpaus
00:16:9C:48:F1:01, 2012-03-03 15:53:02, -58, 1, 1650, 10, GTwireless8a∑h¿h	
00:16:9C:48:F1:01, 2012-03-03 15:53:02, -58, 1, 1650, 10, GTwireless8a∑h¿h	
00:15:C7:AA:D1:A4, 2012-03-03 15:53:02, -54, 1, 1904, 5, GTwpaeless8a∑h¿h	
00:15:C7:AA:D1:A4, 2012-03-03 15:53:02, -54, 1, 1904, 5, GTwpaeless8a∑h¿h	
00:15:C7:AB:06:04, 2012-03-03 15:53:02, -55, 1, 299, 5, GTwpaeless8a∑h¿h	
00:15:C7:AB:06:04, 2012-03-03 15:53:02, -55, 1, 299, 5, GTwpaeless8a∑h¿h	
00:15:C7:AA:D5:37, 2012-03-03 15:53:02, -58, 1, 1870, 9, GTvisitors8a∑h¿h	
00:15:C7:AA:D5:37, 2012-03-03 15:53:02, -58, 1, 1870, 9, GTvisitors8a∑h¿h	
00:15:C7:AA:D1:A7, 2012-03-03 15:53:02, -54, 1, 1908, 9, GTvisitors8a∑h¿h	
00:15:C7:AA:D1:A7, 2012-03-03 15:53:02, -54, 1, 1908, 9, GTvisitors8a∑h¿h	
00:22:B0:CB:22:8F, 2012-03-03 15:53:02, -56, 3, 647, 10, MC2LabNetA8a∑h¿h	
00:22:B0:CB:22:8F, 2012-03-03 15:53:02, -56, 3, 647, 10, MC2LabNetA8a∑h¿h	
00:16:9C:48:F1:07, 2012-03-03 15:53:02, -58, 1, 1652, 9, GTvisitorA8a∑h¿h	
00:15:C7:AA:D1:A1, 2012-03-03 15:53:02, -54, 1, 1909, 10, GTwireless8a∑h¿h	
00:15:C7:AB:06:01, 2012-03-03 15:53:02, -55, 1, 301, 10, GTwireless8a∑h¿h	
00:13:10:43:4F:22, 2012-03-03 15:53:02, -65, 1, 3860, 7, OpenWrtess8a∑h¿h	
00:15:C7:AA:D5:34, 2012-03-03 15:53:02, -58, 1, 1872, 5, GTwpartess8a∑h¿h	
00:15:C7:AB:06:04, 2012-03-03 15:53:02, -55, 1, 302, 5, GTwpartess8a∑h¿h	
00:15:C7:AA:D5:37, 2012-03-03 15:53:02, -58, 1, 1873, 9, GTvisitors8a∑h¿h	
00:15:C7:AA:D1:A7, 2012-03-03 15:53:02, -56, 1, 1917, 9, GTvisitors8a∑h¿h	
00:16:9C:48:F1:04, 2012-03-03 15:53:02, -60, 1, 1654, 5, GTwpaitors8a∑h¿h	
00:15:C7:AB:06:07, 2012-03-03 15:53:02, -55, 1, 303, 9, GTvisitors8a∑h¿h	
00:15:C7:AA:D5:31, 2012-03-03 15:53:02, -58, 1, 1874, 10, GTwireless8a∑h¿h	
00:15:C7:AA:D1:A1, 2012-03-03 15:53:02, -55, 1, 1921, 10, GTwireless8a∑h¿h	
00:16:9C:48:F1:07, 2012-03-03 15:53:02, -59, 1, 1655, 9, GTvisitors8a∑h¿h	
00:15:C7:AB:06:01, 2012-03-03 15:53:02, -54, 1, 304, 10, GTwireless8a∑h¿h	
00:13:10:43:4F:22, 2012-03-03 15:53:02, -70, 1, 3861, 7, OpenWrtess8a∑h¿h	
34:08:04:E1:48:58, 2012-03-03 15:53:02, -50, 2, 474, 7, stratusess8a∑h¿h	
00:15:C7:AA:D5:34, 2012-03-03 15:53:02, -58, 1, 1875, 5, GTwpausess8a∑h¿h	
00:16:9C:48:F1:01, 2012-03-03 15:53:02, -60, 1, 1656, 10, GTwireless8a∑h¿h	
00:15:C7:AA:D1:A4, 2012-03-03 15:53:02, -56, 1, 1922, 5, GTwpaeless8a∑h¿h	
00:15:C7:AB:06:04, 2012-03-03 15:53:02, -54, 1, 305, 5, GTwpaeless8a∑h¿h	
00:15:C7:AA:D5:37, 2012-03-03 15:53:02, -58, 1, 1876, 9, GTvisitors8a∑h¿h	
00:15:C7:AA:D1:A7, 2012-03-03 15:53:02, -56, 1, 1926, 9, GTvisitors8a∑h¿h	
00:16:9C:48:F1:04, 2012-03-03 15:53:02, -60, 1, 1657, 5, GTwpaitors8a∑h¿h	
00:15:C7:AB:06:07, 2012-03-03 15:53:02, -55, 1, 306, 9, GTvisitors8a∑h¿h	
00:15:C7:AA:D5:31, 2012-03-03 15:53:02, -58, 1, 1878, 10, GTwireless8a∑h¿h	
00:16:9C:48:F1:07, 2012-03-03 15:53:02, -58, 1, 1658, 9, GTvisitors8a∑h¿h	
00:15:C7:AA:D1:A1, 2012-03-03 15:53:02, -56, 1, 1932, 10, GTwireless8a∑h¿h	
00:15:C7:AA:D1:A7, 2012-03-03 15:53:03, -55, 1, 1943, 9, GTvisitors8a∑h¿h	
00:22:B0:CB:22:8F, 2012-03-03 15:53:03, -56, 3, 650, 10, MC2LabNetA8a∑h¿h	
00:16:9C:48:F1:04, 2012-03-03 15:53:03, -60, 1, 1660, 5, GTwpabNetA8a∑h¿h	
00:15:C7:AA:D1:A1, 2012-03-03 15:53:03, -57, 1, 1947, 10, GTwireless8a∑h¿h	
00:16:9C:48:F1:07, 2012-03-03 15:53:03, -59, 1, 1661, 9, GTvisitors8a∑h¿h	
00:15:C7:AB:06:01, 2012-03-03 15:53:03, -54, 1, 314, 10, GTwireless8a∑h¿h	
