BSSID, time, power, channel, sequence, essid_length, ESSID
C0:C1:C0:06:7F:5B, 2012-03-03 15:16:23, -51, 6, 2466, 7, linksys
C0:C1:C0:06:7F:5B, 2012-03-03 15:16:23, -51, 6, 2466, 7, linksys
00:18:F8:CB:1C:6A, 2012-03-03 15:16:23, -35, 6, 1474, 6, WODNETs
00:18:F8:CB:1C:6A, 2012-03-03 15:16:23, -35, 6, 1474, 6, WODNETs
00:15:C7:AA:E3:81, 2012-03-03 15:16:23, -56, 6, 1470, 10, GTwireless
00:15:C7:AA:E3:81, 2012-03-03 15:16:23, -56, 6, 1470, 10, GTwireless
00:1C:10:5A:B6:D7, 2012-03-03 15:16:23, -49, 6, 2569, 8, palantirss
00:1C:10:5A:B6:D7, 2012-03-03 15:16:23, -49, 6, 2569, 8, palantirss
9C:4E:20:C9:43:51, 2012-03-03 15:16:23, -46, 6, 99, 10, GTwireless
9C:4E:20:C9:43:51, 2012-03-03 15:16:23, -46, 6, 99, 10, GTwireless
00:15:C7:AA:E3:84, 2012-03-03 15:16:23, -57, 6, 1471, 5, GTwpaeless
00:15:C7:AA:E3:84, 2012-03-03 15:16:23, -57, 6, 1471, 5, GTwpaeless
9C:4E:20:C9:43:57, 2012-03-03 15:16:23, -49, 6, 100, 9, GTvisitors
9C:4E:20:C9:43:57, 2012-03-03 15:16:23, -49, 6, 100, 9, GTvisitors
00:26:0B:C8:B0:67, 2012-03-03 15:16:23, -64, 6, 3695, 9, GTvisitors
00:26:0B:C8:B0:67, 2012-03-03 15:16:23, -64, 6, 3695, 9, GTvisitors
00:16:9C:49:28:11, 2012-03-03 15:16:23, -48, 6, 363, 10, GTwireless
00:16:9C:49:28:11, 2012-03-03 15:16:23, -48, 6, 363, 10, GTwireless
00:15:C7:AA:E3:87, 2012-03-03 15:16:23, -55, 6, 1472, 9, GTvisitors
00:15:C7:AA:E3:87, 2012-03-03 15:16:23, -55, 6, 1472, 9, GTvisitors
00:18:F8:CB:1C:6A, 2012-03-03 15:16:23, -36, 6, 1475, 6, WODNETtors
00:15:C7:AA:E3:81, 2012-03-03 15:16:23, -56, 6, 1473, 10, GTwireless
00:26:0B:C8:B0:64, 2012-03-03 15:16:23, -64, 6, 3697, 5, GTwpaeless
00:1C:10:5A:B6:D7, 2012-03-03 15:16:23, -51, 6, 2570, 8, palantirss
00:15:C7:AA:E3:84, 2012-03-03 15:16:23, -57, 6, 1474, 5, GTwpatirss
9C:4E:20:C9:43:51, 2012-03-03 15:16:23, -54, 6, 102, 10, GTwireless
9C:4E:20:C9:43:57, 2012-03-03 15:16:23, -49, 6, 103, 9, GTvisitors
00:26:0B:C8:B0:67, 2012-03-03 15:16:23, -64, 6, 3698, 9, GTvisitors
00:16:9C:49:28:11, 2012-03-03 15:16:23, -50, 6, 366, 10, GTwireless
C0:C1:C0:06:7F:5B, 2012-03-03 15:16:23, -58, 6, 2474, 7, linksysess
00:16:9C:49:28:14, 2012-03-03 15:16:23, -48, 6, 367, 5, GTwpaysess
00:18:F8:CB:1C:6A, 2012-03-03 15:16:23, -36, 6, 1476, 6, WODNETsess
58:6D:8F:E1:7B:ED, 2012-03-03 15:16:23, -63, 6, 850, 7, abscondess
00:16:9C:49:28:17, 2012-03-03 15:16:23, -46, 6, 368, 9, GTvisitors
00:1C:10:5A:B6:D7, 2012-03-03 15:16:23, -49, 6, 2571, 8, palantirrs
00:15:C7:AA:E3:84, 2012-03-03 15:16:23, -56, 6, 1477, 5, GTwpatirrs
00:1D:7E:BB:87:32, 2012-03-03 15:16:23, -65, 6, 863, 11, mbs_network
9C:4E:20:C9:43:51, 2012-03-03 15:16:23, -51, 6, 105, 10, GTwirelessk
00:26:0B:C8:B0:67, 2012-03-03 15:16:23, -64, 6, 3701, 9, GTvisitorsk
00:16:9C:49:28:11, 2012-03-03 15:16:23, -46, 6, 369, 10, GTwirelessk
9C:4E:20:C9:43:57, 2012-03-03 15:16:23, -51, 6, 106, 9, GTvisitorsk
00:15:C7:AA:E3:87, 2012-03-03 15:16:23, -56, 6, 1478, 9, GTvisitorsk
00:15:C7:AA:D1:A1, 2012-03-03 15:16:23, -43, 1, 2305, 10, GTwirelessk
00:1C:58:73:A7:62, 2012-03-03 15:16:23, -65, 1, 1896, 9, GTvisitorsk
00:19:A9:43:1C:D1, 2012-03-03 15:16:23, -61, 1, 1057, 10, GTwirelessk
00:15:C7:AA:D5:34, 2012-03-03 15:16:23, -57, 1, 1358, 5, GTwpaelessk
00:15:C7:AB:38:B1, 2012-03-03 15:16:23, -62, 1, 2102, 10, GTwirelessk
00:15:C7:AA:D1:A4, 2012-03-03 15:16:23, -44, 1, 2306, 5, GTwpaelessk
00:15:C7:AB:04:24, 2012-03-03 15:16:23, -58, 1, 2782, 5, GTwpaelessk
00:15:C7:AA:D1:A7, 2012-03-03 15:16:23, -43, 1, 2307, 9, GTvisitorsk
00:19:A9:43:1C:D7, 2012-03-03 15:16:23, -62, 1, 1059, 9, GTvisitorsk
00:15:C7:AB:04:27, 2012-03-03 15:16:23, -57, 1, 2783, 9, GTvisitorsk
00:15:C7:AA:D1:A1, 2012-03-03 15:16:23, -42, 1, 2308, 10, GTwirelessk
00:19:A9:43:1C:D1, 2012-03-03 15:16:23, -62, 1, 1060, 10, GTwirelessk
00:15:C7:AB:04:21, 2012-03-03 15:16:23, -56, 1, 2784, 10, GTwirelessk
00:15:C7:AA:D1:A4, 2012-03-03 15:16:23, -41, 1, 2309, 5, GTwpa
00:15:C7:AB:04:24, 2012-03-03 15:16:23, -57, 1, 2785, 5, GTwpa
00:15:C7:AA:D1:A7, 2012-03-03 15:16:23, -41, 1, 2310, 9, GTvisitor
00:15:C7:AB:04:27, 2012-03-03 15:16:23, -58, 1, 2786, 9, GTvisitor
00:15:C7:AB:38:B7, 2012-03-03 15:16:23, -60, 1, 2107, 9, GTvisitor
08:1F:F3:B3:EB:47, 2012-03-03 15:16:23, -66, 1, 1611, 9, GTvisitor
00:15:C7:AA:D1:A1, 2012-03-03 15:16:23, -41, 1, 2311, 10, GTwireless
00:15:C7:AB:04:21, 2012-03-03 15:16:23, -58, 1, 2787, 10, GTwireless
00:15:C7:AA:D5:34, 2012-03-03 15:16:23, -56, 1, 1364, 5, GTwpaeless
00:15:C7:AA:D1:A4, 2012-03-03 15:16:23, -41, 1, 2315, 5, GTwpaeless
00:15:C7:AB:04:24, 2012-03-03 15:16:23, -58, 1, 2791, 5, GTwpa
00:15:C7:AA:D1:A7, 2012-03-03 15:16:23, -40, 1, 2319, 9, GTvisitor
00:15:C7:AA:D5:31, 2012-03-03 15:16:23, -53, 1, 1372, 10, GTwireless
00:15:C7:AA:D1:A1, 2012-03-03 15:16:23, -39, 1, 2320, 10, GTwireless
00:15:C7:AB:04:21, 2012-03-03 15:16:23, -58, 1, 2793, 10, GTwireless
00:15:C7:AB:38:B1, 2012-03-03 15:16:23, -59, 1, 2117, 10, GTwireless
00:1C:58:73:A7:60, 2012-03-03 15:16:23, -65, 1, 1906, 10, GTwireless
00:13:10:43:4F:22, 2012-03-03 15:16:23, -61, 1, 2332, 7, OpenWrtess
00:15:C7:AA:D5:37, 2012-03-03 15:16:23, -53, 1, 1377, 9, GTvisitors
00:19:A9:43:1C:D4, 2012-03-03 15:16:23, -63, 1, 1067, 5, GTwpaitors
00:15:C7:AA:D1:A7, 2012-03-03 15:16:23, -38, 1, 2322, 9, GTvisitor
00:15:C7:AB:04:27, 2012-03-03 15:16:23, -56, 1, 2795, 9, GTvisitor
00:15:C7:AA:D5:31, 2012-03-03 15:16:23, -51, 1, 1378, 10, GTwireless
00:22:B0:CB:22:8F, 2012-03-03 15:16:23, -58, 3, 3750, 10, MC2LabNetA
00:15:C7:AB:38:B7, 2012-03-03 15:16:23, -62, 1, 2119, 9, GTvisitorA
00:15:C7:AA:D1:A1, 2012-03-03 15:16:23, -36, 1, 2323, 10, GTwireless
00:19:A9:43:1C:D1, 2012-03-03 15:16:23, -62, 1, 1069, 10, GTwireless
00:15:C7:AB:04:21, 2012-03-03 15:16:23, -56, 1, 2796, 10, GTwireless
00:15:C7:AA:D5:34, 2012-03-03 15:16:23, -52, 1, 1379, 5, GTwpaeless
00:15:C7:AB:38:B1, 2012-03-03 15:16:23, -62, 1, 2120, 10, GTwireless
00:15:C7:AA:D5:37, 2012-03-03 15:16:23, -54, 1, 1380, 9, GTvisitors
00:15:C7:AB:04:24, 2012-03-03 15:16:23, -56, 1, 2797, 5, GTwpaitors
00:15:C7:AA:D1:A7, 2012-03-03 15:16:23, -36, 1, 2325, 9, GTvisitors
00:15:C7:AB:04:27, 2012-03-03 15:16:23, -57, 1, 2798, 9, GTvisitor
00:15:C7:AA:D5:31, 2012-03-03 15:16:23, -54, 1, 1381, 10, GTwireless
00:15:C7:AB:38:B7, 2012-03-03 15:16:23, -57, 1, 2122, 9, GTvisitors
00:15:C7:AA:D1:A1, 2012-03-03 15:16:24, -38, 1, 2326, 10, GTwireless
00:15:C7:AB:04:21, 2012-03-03 15:16:24, -59, 1, 2799, 10, GTwireless
00:15:C7:AA:D5:34, 2012-03-03 15:16:24, -55, 1, 1382, 5, GTwpaeless
