BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AB:06:04, 2012-03-03 15:54:21, -72, 1, 3635, 5, GTwpa.øÔ¯K∑ò0ˆ
00:15:C7:AA:D5:37, 2012-03-03 15:54:21, -71, 1, 2073, 9, GTvisitorÔ¯K∑ò0ˆ
00:15:C7:AA:D1:A7, 2012-03-03 15:54:21, -83, 1, 1999, 9, GTvisitorÔ¯K∑ò0ˆ
00:16:9C:48:F1:04, 2012-03-03 15:54:21, -78, 1, 854, 5, GTwpaitorÔ¯K∑ò0ˆ
00:15:C7:AA:D1:A1, 2012-03-03 15:54:21, -84, 1, 2002, 10, GTwireless¯K∑ò0ˆ
00:15:C7:AB:06:01, 2012-03-03 15:54:21, -64, 1, 3637, 10, GTwireless¯K∑ò0ˆ
00:13:10:43:4F:22, 2012-03-03 15:54:21, -85, 1, 800, 7, OpenWrtess¯K∑ò0ˆ
34:08:04:E1:48:58, 2012-03-03 15:54:21, -70, 2, 1482, 7, stratusess¯K∑ò0ˆ
00:15:C7:AA:D5:34, 2012-03-03 15:54:21, -72, 1, 2075, 5, GTwpausess¯K∑ò0ˆ
00:16:9C:48:F1:01, 2012-03-03 15:54:21, -78, 1, 856, 10, GTwireless¯K∑ò0ˆ
00:15:C7:AA:D1:A4, 2012-03-03 15:54:21, -84, 1, 2005, 5, GTwpaeless¯K∑ò0ˆ
00:15:C7:AB:06:04, 2012-03-03 15:54:21, -64, 1, 3638, 5, GTwpaeless¯K∑ò0ˆ
00:15:C7:AA:D5:37, 2012-03-03 15:54:21, -72, 1, 2076, 9, GTvisitors¯K∑ò0ˆ
00:15:C7:AA:D1:A7, 2012-03-03 15:54:21, -82, 1, 2006, 9, GTvisitors¯K∑ò0ˆ
00:22:B0:CB:22:8F, 2012-03-03 15:54:21, -80, 3, 1659, 10, MC2LabNetA¯K∑ò0ˆ
00:16:9C:48:F1:04, 2012-03-03 15:54:21, -79, 1, 857, 5, GTwpabNetA¯K∑ò0ˆ
00:15:C7:AB:06:07, 2012-03-03 15:54:21, -65, 1, 3639, 9, GTvisitorA¯K∑ò0ˆ
00:15:C7:AA:D5:31, 2012-03-03 15:54:21, -72, 1, 2077, 10, GTwireless¯K∑ò0ˆ
00:15:C7:AA:D1:A1, 2012-03-03 15:54:21, -80, 1, 2012, 10, GTwireless¯K∑ò0ˆ
00:15:C7:AB:06:01, 2012-03-03 15:54:21, -66, 1, 3640, 10, GTwireless¯K∑ò0ˆ
00:13:10:43:4F:22, 2012-03-03 15:54:21, -84, 1, 801, 7, OpenWrtess¯K∑ò0ˆ
34:08:04:E1:48:58, 2012-03-03 15:54:21, -70, 2, 1483, 7, stratusess¯K∑ò0ˆ
00:15:C7:AA:D5:34, 2012-03-03 15:54:21, -71, 1, 2082, 5, GTwpausess¯K∑ò0ˆ
00:15:C7:AA:D1:A4, 2012-03-03 15:54:21, -81, 1, 2016, 5, GTwpausess¯K∑ò0ˆ
00:15:C7:AB:06:04, 2012-03-03 15:54:21, -66, 1, 3641, 5, GTwpa
00:15:C7:AA:D5:37, 2012-03-03 15:54:21, -72, 1, 2085, 9, GTvisitor
00:15:C7:AA:D1:A7, 2012-03-03 15:54:21, -82, 1, 2019, 9, GTvisitor
00:16:9C:48:F1:04, 2012-03-03 15:54:21, -79, 1, 860, 5, GTwpaitor
00:15:C7:AB:06:07, 2012-03-03 15:54:21, -66, 1, 3642, 9, GTvisitor
00:15:C7:AA:D5:31, 2012-03-03 15:54:21, -73, 1, 2086, 10, GTwireless
00:16:9C:48:F1:07, 2012-03-03 15:54:21, -79, 1, 861, 9, GTvisitors
00:15:C7:AA:D1:A1, 2012-03-03 15:54:21, -83, 1, 2022, 10, GTwireless
00:15:C7:AB:06:01, 2012-03-03 15:54:21, -66, 1, 3646, 10, GTwireless
00:13:10:43:4F:22, 2012-03-03 15:54:21, -85, 1, 802, 7, OpenWrtess
34:08:04:E1:48:58, 2012-03-03 15:54:21, -68, 2, 1484, 7, stratusess
00:16:9C:48:F1:01, 2012-03-03 15:54:21, -81, 1, 862, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-03-03 15:54:21, -80, 1, 2023, 5, GTwpaeless
00:15:C7:AB:06:04, 2012-03-03 15:54:21, -65, 1, 3647, 5, GTwpa
00:15:C7:AA:D5:37, 2012-03-03 15:54:21, -74, 1, 2088, 9, GTvisitor
00:15:C7:AA:D1:A7, 2012-03-03 15:54:21, -80, 1, 2026, 9, GTvisitor
00:22:B0:CB:22:8F, 2012-03-03 15:54:21, -79, 3, 1661, 10, MC2LabNetA
00:16:9C:48:F1:04, 2012-03-03 15:54:21, -80, 1, 863, 5, GTwpabNetA
00:15:C7:AB:06:07, 2012-03-03 15:54:21, -66, 1, 3648, 9, GTvisitorA
00:15:C7:AA:D5:31, 2012-03-03 15:54:21, -75, 1, 2089, 10, GTwireless
00:16:9C:48:F1:07, 2012-03-03 15:54:21, -78, 1, 864, 9, GTvisitors
00:15:C7:AA:D1:A1, 2012-03-03 15:54:21, -80, 1, 2029, 10, GTwireless
00:15:C7:AB:06:01, 2012-03-03 15:54:21, -65, 1, 3649, 10, GTwireless
00:13:10:43:4F:22, 2012-03-03 15:54:21, -83, 1, 803, 7, OpenWrtess
34:08:04:E1:48:58, 2012-03-03 15:54:21, -71, 2, 1485, 7, stratusess
00:15:C7:AA:D5:34, 2012-03-03 15:54:21, -74, 1, 2090, 5, GTwpausess
00:16:9C:48:F1:01, 2012-03-03 15:54:21, -79, 1, 865, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-03-03 15:54:21, -82, 1, 2030, 5, GTwpaeless
00:15:C7:AB:06:04, 2012-03-03 15:54:21, -69, 1, 3650, 5, GTwpa
00:15:C7:AA:D5:37, 2012-03-03 15:54:21, -74, 1, 2091, 9, GTvisitor
00:15:C7:AA:D1:A7, 2012-03-03 15:54:21, -82, 1, 2033, 9, GTvisitor
00:22:B0:CB:22:8F, 2012-03-03 15:54:21, -82, 3, 1662, 10, MC2LabNetA
00:16:9C:48:F1:04, 2012-03-03 15:54:21, -79, 1, 866, 5, GTwpabNetA
00:15:C7:AB:06:07, 2012-03-03 15:54:21, -69, 1, 3651, 9, GTvisitorA
