BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AB:5A:87, 2012-03-03 15:27:58, -83, 1, 2939, 9, GTvisitorÔ®B∑ÄPÖ
00:15:C7:AB:06:07, 2012-03-03 15:27:58, -75, 1, 1763, 9, GTvisitorÔ®B∑ÄPÖ
00:15:C7:AA:D1:A7, 2012-03-03 15:27:58, -58, 1, 2121, 9, GTvisitorÔ®B∑ÄPÖ
00:16:9C:48:F1:04, 2012-03-03 15:27:58, -86, -1, 2502, 15, ¨..
9C:4E:20:C9:3F:91, 2012-03-03 15:27:58, -78, 1, 1414, 10, GTwireless
9C:4E:20:C9:3F:97, 2012-03-03 15:27:58, -84, 1, 1415, 9, GTvisitors
00:15:C7:AA:D1:A1, 2012-03-03 15:27:58, -58, 1, 2122, 10, GTwireless
34:08:04:E1:48:58, 2012-03-03 15:27:58, -78, 2, 2311, 7, stratusess
00:15:C7:AB:06:04, 2012-03-03 15:27:58, -74, 1, 1765, 5, GTwpausess
00:15:C7:AA:D1:A4, 2012-03-03 15:27:58, -57, 1, 2123, 5, GTwpausess
9C:4E:20:C9:3F:94, 2012-03-03 15:27:58, -85, 1, 1416, 5, GTwpausess
00:15:C7:AB:5A:87, 2012-03-03 15:27:58, -81, 1, 2942, 9, GTvisitors
00:15:C7:AB:06:07, 2012-03-03 15:27:58, -74, 1, 1766, 9, GTvisitors
00:15:C7:AA:D1:A7, 2012-03-03 15:27:58, -59, 1, 2124, 9, GTvisitors
9C:4E:20:C9:3F:91, 2012-03-03 15:27:58, -85, 1, 1417, 10, GTwireless
9C:4E:20:C9:3F:97, 2012-03-03 15:27:58, -79, 1, 1418, 9, GTvisitors
00:15:C7:AB:5A:81, 2012-03-03 15:27:58, -84, -1, 2943, 0, GTvisitors
00:15:C7:AA:D1:A1, 2012-03-03 15:27:58, -58, 1, 2125, 10, GTwireless
00:15:C7:AB:06:04, 2012-03-03 15:27:58, -74, 1, 1768, 5, GTwpaeless
00:15:C7:AA:D1:A4, 2012-03-03 15:27:58, -59, 1, 2126, 5, GTwpaeless
34:08:04:E1:48:58, 2012-03-03 15:27:58, -79, 2, 2312, 7, stratusess
9C:4E:20:C9:3F:94, 2012-03-03 15:27:58, -79, 1, 1419, 5, GTwpausess
