BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AB:38:B7, 2012-02-26 16:42:31, -65, 1, 1463, 9, GTvisitorï˜H·€€ƒ	
00:15:C7:AA:D5:37, 2012-02-26 16:42:31, -74, 1, 2533, 9, GTvisitorï˜H·€€ƒ	
00:15:C7:AB:04:24, 2012-02-26 16:42:31, -72, 1, 506, 5, GTwpaitorï˜H·€€ƒ	
08:1F:F3:B3:EB:44, 2012-02-26 16:42:31, -87, 1, 1648, 5, GTwpaitorï˜H·€€ƒ	
08:1F:F3:B3:EB:47, 2012-02-26 16:42:31, -87, 1, 1650, 9, GTvisitorï˜H·€€ƒ	
00:15:C7:AA:D1:A4, 2012-02-26 16:42:31, -70, 1, 2573, 5, GTwpaitorï˜H·€€ƒ	
00:1C:58:73:A7:61, 2012-02-26 16:42:31, -86, 1, 276, 5, GTwpaitorï˜H·€€ƒ	
00:19:A9:43:1C:D7, 2012-02-26 16:42:31, -86, 1, 2108, 9, GTvisitorï˜H·€€ƒ	
00:15:C7:AB:04:21, 2012-02-26 16:42:31, -73, 1, 509, 10, GTwireless˜H·€€ƒ	
00:15:C7:AB:38:B4, 2012-02-26 16:42:31, -66, 1, 1465, 5, GTwpaeless˜H·€€ƒ	
00:15:C7:AB:38:B7, 2012-02-26 16:42:31, -65, 1, 1466, 9, GTvisitors˜H·€€ƒ	
00:19:A9:43:1C:D1, 2012-02-26 16:42:31, -86, 1, 2109, 10, GTwireless˜H·€€ƒ	
00:15:C7:AB:04:24, 2012-02-26 16:42:31, -73, 1, 510, 5, GTwpaeless˜H·€€ƒ	
00:1C:58:73:A7:60, 2012-02-26 16:42:31, -86, 1, 278, 10, GTwiúaless˜H·€€ƒ	
00:13:10:43:4F:22, 2012-02-26 16:42:31, -85, 1, 1310, 7, OpenWrtess˜H·€€ƒ	
00:15:C7:AA:D1:A1, 2012-02-26 16:42:31, -70, 1, 2575, 10, GTwireless˜H·€€ƒ	
00:15:C7:AB:04:27, 2012-02-26 16:42:31, -74, 1, 511, 9, GTvisitors˜H·€€ƒ	
00:15:C7:AB:38:B1, 2012-02-26 16:42:31, -66, 1, 1467, 10, GTwireless˜H·€€ƒ	
00:15:C7:AA:D5:31, 2012-02-26 16:42:31, -72, 1, 2535, 10, GTwireless˜H·€€ƒ	
00:15:C7:AA:D1:A4, 2012-02-26 16:42:31, -71, 1, 2576, 5, GTwpaeless˜H·€€ƒ	
00:15:C7:AB:04:21, 2012-02-26 16:42:31, -74, 1, 512, 10, GTwireless˜H·€€ƒ	
00:15:C7:AB:38:B4, 2012-02-26 16:42:31, -66, 1, 1468, 5, GTwpaeless˜H·€€ƒ	
00:15:C7:AA:D5:34, 2012-02-26 16:42:31, -73, 1, 2536, 5, GTwpaeless˜H·€€ƒ	
00:15:C7:AA:D1:A7, 2012-02-26 16:42:31, -69, 1, 2578, 9, GTvisitors˜H·€€ƒ	
00:1C:58:73:A7:62, 2012-02-26 16:42:31, -89, 1, 280, 9, GTvisitors˜H·€€ƒ	
00:15:C7:AB:38:B7, 2012-02-26 16:42:31, -65, 1, 1469, 9, GTvisitors˜H·€€ƒ	
00:19:A9:43:1C:D1, 2012-02-26 16:42:31, -85, 1, 2112, 10, GTwireless˜H·€€ƒ	
00:15:C7:AB:04:24, 2012-02-26 16:42:31, -74, 1, 513, 5, GTwpaeless˜H·€€ƒ	
00:13:10:43:4F:22, 2012-02-26 16:42:31, -81, 1, 1311, 7, OpenWrtess˜H·€€ƒ	
00:15:C7:AA:D1:A1, 2012-02-26 16:42:31, -70, 1, 2579, 10, GTwireless˜H·€€ƒ	
00:15:C7:AB:04:27, 2012-02-26 16:42:31, -72, 1, 514, 9, GTvisitors˜H·€€ƒ	
00:15:C7:AB:38:B1, 2012-02-26 16:42:31, -67, 1, 1470, 10, GTwireless˜H·€€ƒ	
00:15:C7:AA:D5:31, 2012-02-26 16:42:31, -72, 1, 2538, 10, GTwireless˜H·€€ƒ	
08:1F:F3:B3:EB:41, 2012-02-26 16:42:31, -85, 1, 1655, 10, GTwireless˜H·€€ƒ	
08:1F:F3:B3:EB:47, 2012-02-26 16:42:31, -86, 1, 1656, 9, GTvisitors˜H·€€ƒ	
00:15:C7:AA:D1:A4, 2012-02-26 16:42:31, -70, 1, 2580, 5, GTwpaitors˜H·€€ƒ	
00:19:A9:43:1C:D7, 2012-02-26 16:42:31, -84, 1, 2114, 9, GTvisitors˜H·€€ƒ	
00:15:C7:AB:04:21, 2012-02-26 16:42:31, -73, 1, 515, 10, GTwireless˜H·€€ƒ	
00:15:C7:AB:38:B4, 2012-02-26 16:42:31, -66, 1, 1471, 5, GTwpaeless˜H·€€ƒ	
00:15:C7:AA:D5:34, 2012-02-26 16:42:31, -72, 1, 2539, 5, GTwpaeless˜H·€€ƒ	
00:15:C7:AA:D1:A7, 2012-02-26 16:42:31, -70, 1, 2582, 9, GTvisitors˜H·€€ƒ	
00:15:C7:AB:38:B7, 2012-02-26 16:42:31, -67, 1, 1472, 9, GTvisitors˜H·€€ƒ	
00:15:C7:AA:D5:37, 2012-02-26 16:42:31, -72, 1, 2540, 9, GTvisitors˜H·€€ƒ	
00:15:C7:AB:04:24, 2012-02-26 16:42:31, -73, 1, 516, 5, GTwpaitors˜H·€€ƒ	
00:13:10:43:4F:22, 2012-02-26 16:42:31, -86, 1, 1312, 7, OpenWrtors˜H·€€ƒ	
00:15:C7:AA:D1:A1, 2012-02-26 16:42:31, -70, 1, 2583, 10, GTwireless˜H·€€ƒ	
00:15:C7:AB:04:27, 2012-02-26 16:42:31, -73, 1, 517, 9, GTvisitors˜H·€€ƒ	
00:15:C7:AB:38:B1, 2012-02-26 16:42:31, -66, 1, 1473, 10, GTwireless˜H·€€ƒ	
00:15:C7:AA:D5:31, 2012-02-26 16:42:31, -72, 1, 2541, 10, GTwireless˜H·€€ƒ	
00:15:C7:AA:D1:A4, 2012-02-26 16:42:31, -70, 1, 2584, 5, GTwpaeless˜H·€€ƒ	
00:19:A9:43:1C:D7, 2012-02-26 16:42:31, -85, 1, 2117, 9, GTvisitors˜H·€€ƒ	
00:15:C7:AB:04:21, 2012-02-26 16:42:31, -73, 1, 518, 10, GTwireless˜H·€€ƒ	
00:15:C7:AB:38:B4, 2012-02-26 16:42:31, -65, 1, 1474, 5, GTwpaeless˜H·€€ƒ	
00:15:C7:AA:D5:34, 2012-02-26 16:42:31, -71, 1, 2542, 5, GTwpaeless˜H·€€ƒ	
