BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AA:E7:B7, 2012-03-31 18:04:23, -65, 1, 1470, 9, GTvisitorïHC·˜ 
00:15:C7:AA:D5:31, 2012-03-31 18:04:23, -81, 1, 3141, 10, GTwirelessHC·˜ 
00:13:10:43:4F:22, 2012-03-31 18:04:23, -53, 1, 1937, 7, OpenWrtessHC·˜ 
00:12:44:B9:1C:D4, 2012-03-31 18:04:23, -68, 1, 3702, 5, GTwpartessHC·˜ 
00:15:C7:AA:E7:B4, 2012-03-31 18:04:23, -65, 1, 1472, 5, GTwpartessHC·˜ 
00:12:44:B9:1C:D7, 2012-03-31 18:04:23, -68, 1, 3703, 9, GTvisitorsHC·˜ 
00:15:C7:AA:D5:37, 2012-03-31 18:04:23, -81, 1, 3143, 9, GTvisitorsHC·˜ 
00:23:69:56:51:AB, 2012-03-31 18:04:23, -68, 3, 3108, 9, 
00:12:44:B9:1C:D1, 2012-03-31 18:04:23, -67, 1, 3704, 10, GTwirelessHC·˜ 
00:1C:0E:43:EB:14, 2012-03-31 18:04:23, -82, 1, 2166, 5, GTwpaelessHC·˜ 
00:15:C7:AA:E7:B1, 2012-03-31 18:04:23, -66, 1, 1474, 10, GTwirelessHC·˜ 
00:13:10:43:4F:22, 2012-03-31 18:04:23, -52, 1, 1938, 7, OpenWrtessHC·˜ 
00:12:44:B9:1C:D4, 2012-03-31 18:04:23, -66, 1, 3705, 5, GTwpartessHC·˜ 
00:15:C7:AA:E7:B4, 2012-03-31 18:04:23, -65, 1, 1475, 5, GTwpartessHC·˜ 
00:12:44:B9:1C:D7, 2012-03-31 18:04:23, -68, 1, 3706, 9, GTvisitorsHC·˜ 
00:15:C7:AA:D5:37, 2012-03-31 18:04:23, -81, 1, 3146, 9, GTvisitor
00:1C:0E:43:EB:11, 2012-03-31 18:04:23, -83, 1, 2168, 10, GTwireless
00:23:69:56:51:AB, 2012-03-31 18:04:23, -67, 3, 3109, 9, 
00:15:C7:AA:E7:B7, 2012-03-31 18:04:23, -66, 1, 1476, 9, GTvisitors
00:12:44:B9:1C:D1, 2012-03-31 18:04:23, -66, 1, 3707, 10, GTwireless
00:15:C7:AA:D5:31, 2012-03-31 18:04:23, -82, 1, 3147, 10, GTwireless
00:1C:0E:43:EB:14, 2012-03-31 18:04:23, -83, 1, 2169, 5, GTwpaeless
00:15:C7:AA:E7:B1, 2012-03-31 18:04:23, -65, 1, 1477, 10, GTwireless
00:13:10:43:4F:22, 2012-03-31 18:04:23, -51, 1, 1939, 7, OpenWrtess
00:12:44:B9:1C:D4, 2012-03-31 18:04:23, -66, 1, 3708, 5, GTwpartess
00:1C:0E:43:EB:17, 2012-03-31 18:04:23, -78, 1, 2170, 9, GTvisitors
00:15:C7:AA:E7:B4, 2012-03-31 18:04:23, -65, 1, 1478, 5, GTwpaitors
00:12:44:B9:1C:D7, 2012-03-31 18:04:23, -67, 1, 3709, 9, GTvisitors
00:15:C7:AA:D5:37, 2012-03-31 18:04:23, -81, 1, 3149, 9, GTvisitors
00:23:69:56:51:AB, 2012-03-31 18:04:23, -67, 3, 3110, 9, 
00:15:C7:AA:E7:B7, 2012-03-31 18:04:23, -66, 1, 1480, 9, GTvisitor
00:12:44:B9:1C:D1, 2012-03-31 18:04:23, -67, 1, 3710, 10, GTwireless
00:15:C7:AA:D5:31, 2012-03-31 18:04:23, -83, 1, 3150, 10, GTwireless
00:1C:0E:43:EB:14, 2012-03-31 18:04:23, -82, 1, 2176, 5, GTwpaeless
00:15:C7:AA:E7:B1, 2012-03-31 18:04:23, -66, 1, 1481, 10, GTwireless
00:13:10:43:4F:22, 2012-03-31 18:04:23, -52, 1, 1940, 7, OpenWrtess
00:12:44:B9:1C:D4, 2012-03-31 18:04:23, -67, 1, 3711, 5, GTwpartess
00:1C:0E:43:EB:17, 2012-03-31 18:04:23, -78, 1, 2177, 9, GTvisitors
00:15:C7:AA:E7:B4, 2012-03-31 18:04:23, -67, 1, 1482, 5, GTwpaitors
00:12:44:B9:1C:D7, 2012-03-31 18:04:23, -67, 1, 3712, 9, GTvisitors
00:1C:0E:43:EB:11, 2012-03-31 18:04:23, -83, 1, 2178, 10, GTwireless
00:15:C7:AA:E7:B7, 2012-03-31 18:04:23, -67, 1, 1483, 9, GTvisitor
00:12:44:B9:1C:D1, 2012-03-31 18:04:23, -67, 1, 3713, 10, GTwireless
00:1C:0E:43:EB:14, 2012-03-31 18:04:23, -82, 1, 2179, 5, GTwpaeless
00:15:C7:AA:E7:B1, 2012-03-31 18:04:23, -66, 1, 1484, 10, GTwireless
00:13:10:43:4F:22, 2012-03-31 18:04:23, -53, 1, 1941, 7, OpenWrtess
00:12:44:B9:1C:D4, 2012-03-31 18:04:23, -68, 1, 3714, 5, GTwpartess
00:1C:0E:43:EB:17, 2012-03-31 18:04:23, -79, 1, 2180, 9, GTvisitors
