BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AA:D5:37, 2012-02-26 16:37:00, -44, 1, 3110, 9, GTvisitorïØC·hàµ	
00:15:C7:AA:D5:37, 2012-02-26 16:37:00, -44, 1, 3110, 9, GTvisitorïØC·hàµ	
00:13:10:43:4F:22, 2012-02-26 16:37:00, -67, 1, 2067, 7, OpenWrtorïØC·hàµ	
00:13:10:43:4F:22, 2012-02-26 16:37:00, -67, 1, 2067, 7, OpenWrtorïØC·hàµ	
00:15:C7:AB:38:B1, 2012-02-26 16:37:00, -39, 1, 2836, 10, GTwirelessØC·hàµ	
00:15:C7:AB:38:B1, 2012-02-26 16:37:00, -39, 1, 2836, 10, GTwirelessØC·hàµ	
00:15:C7:AA:D5:31, 2012-02-26 16:37:00, -46, 1, 3111, 10, GTwirelessØC·hàµ	
00:15:C7:AA:D5:31, 2012-02-26 16:37:00, -46, 1, 3111, 10, GTwirelessØC·hàµ	
00:15:C7:AB:38:B4, 2012-02-26 16:37:00, -40, 1, 2837, 5, GTwpaelessØC·hàµ	
00:15:C7:AB:38:B4, 2012-02-26 16:37:00, -40, 1, 2837, 5, GTwpaelessØC·hàµ	
00:15:C7:AA:D1:A7, 2012-02-26 16:37:00, -60, 1, 1616, 9, GTvisitorsØC·hàµ	
00:15:C7:AA:D1:A7, 2012-02-26 16:37:00, -60, 1, 1616, 9, GTvisitorsØC·hàµ	
94:44:52:FB:65:B2, 2012-02-26 16:37:00, -65, 1, 149, 10, belkin.5b2ØC·hàµ	
94:44:52:FB:65:B2, 2012-02-26 16:37:00, -65, 1, 149, 10, belkin.5b2ØC·hàµ	
00:15:C7:AB:38:B7, 2012-02-26 16:37:00, -38, 1, 2838, 9, GTvisitor2ØC·hàµ	
00:15:C7:AB:38:B7, 2012-02-26 16:37:00, -38, 1, 2838, 9, GTvisitor2ØC·hàµ	
00:15:C7:AA:D5:37, 2012-02-26 16:37:00, -47, 1, 3113, 9, GTvisitor2ØC·hàµ	
00:15:C7:AA:D5:37, 2012-02-26 16:37:00, -47, 1, 3113, 9, GTvisitor2ØC·hàµ	
00:13:10:43:4F:22, 2012-02-26 16:37:00, -61, 1, 2068, 7, OpenWrtor2ØC·hàµ	
00:15:C7:AA:D1:A1, 2012-02-26 16:37:00, -59, 1, 1617, 10, GTwirelessØC·hàµ	
00:15:C7:AB:04:27, 2012-02-26 16:37:00, -60, 1, 2265, 9, GTvisitorsØC·hàµ	
00:15:C7:AB:38:B1, 2012-02-26 16:37:00, -39, 1, 2839, 10, GTwirelessØC·hàµ	
00:15:C7:AA:D5:31, 2012-02-26 16:37:00, -48, 1, 3114, 10, GTwirelessØC·hàµ	
00:15:C7:AA:D1:A4, 2012-02-26 16:37:00, -59, 1, 1618, 5, GTwpaelessØC·hàµ	
00:15:C7:AB:04:21, 2012-02-26 16:37:00, -58, 1, 2266, 10, GTwirelessØC·hàµ	
00:15:C7:AB:38:B4, 2012-02-26 16:37:00, -39, 1, 2840, 5, GTwpaelessØC·hàµ	
00:15:C7:AA:D1:A7, 2012-02-26 16:37:00, -58, 1, 1621, 9, GTvisitorsØC·hàµ	
00:23:69:56:51:AB, 2012-02-26 16:37:00, -62, 3, 3970, 9, 
00:19:A9:43:1C:D1, 2012-02-26 16:37:00, -66, 1, 3500, 10, GTwirelessØC·hàµ	
00:15:C7:AB:04:24, 2012-02-26 16:37:00, -57, 1, 2267, 5, GTwpaelessØC·hàµ	
00:15:C7:AA:D1:A1, 2012-02-26 16:37:00, -58, 1, 1622, 10, GTwirelessØC·hàµ	
00:15:C7:AB:04:27, 2012-02-26 16:37:00, -55, 1, 2268, 9, GTvisitorsØC·hàµ	
00:15:C7:AA:D5:31, 2012-02-26 16:37:00, -53, 1, 3119, 10, GTwirelessØC·hàµ	
00:15:C7:AA:D1:A4, 2012-02-26 16:37:00, -59, 1, 1623, 5, GTwpaelessØC·hàµ	
00:15:C7:AB:04:21, 2012-02-26 16:37:00, -55, 1, 2269, 10, GTwirelessØC·hàµ	
00:15:C7:AB:38:B7, 2012-02-26 16:37:00, -41, 1, 2844, 9, GTvisitorsØC·hàµ	
00:15:C7:AA:D5:37, 2012-02-26 16:37:00, -46, 1, 3121, 9, GTvisitorsØC·hàµ	
00:15:C7:AB:04:24, 2012-02-26 16:37:00, -57, 1, 2270, 5, GTwpaitorsØC·hàµ	
00:13:10:43:4F:22, 2012-02-26 16:37:00, -63, 1, 2070, 7, OpenWrtorsØC·hàµ	
00:15:C7:AA:D1:A1, 2012-02-26 16:37:00, -56, 1, 1625, 10, GTwirelessØC·hàµ	
00:15:C7:AB:04:27, 2012-02-26 16:37:00, -58, 1, 2271, 9, GTvisitorsØC·hàµ	
00:15:C7:AB:38:B1, 2012-02-26 16:37:00, -41, 1, 2845, 10, GTwirelessØC·hàµ	
00:15:C7:AA:D5:31, 2012-02-26 16:37:00, -46, 1, 3122, 10, GTwirelessØC·hàµ	
00:15:C7:AA:D1:A4, 2012-02-26 16:37:00, -55, 1, 1626, 5, GTwpaelessØC·hàµ	
00:15:C7:AB:04:21, 2012-02-26 16:37:00, -62, 1, 2272, 10, GTwirelessØC·hàµ	
