BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AB:38:B4, 2012-03-03 15:32:31, -60, 1, 2094, 5, GTwpaDŒΩøÔxK∑Ä˝
00:15:C7:AA:D1:A7, 2012-03-03 15:32:31, -57, 1, 3431, 9, GTvisitorÔxK∑Ä˝
08:1F:F3:B3:EB:44, 2012-03-03 15:32:31, -87, 1, 2974, 5, GTwpaitorÔxK∑Ä˝
00:15:C7:AB:04:27, 2012-03-03 15:32:31, -79, 1, 1143, 9, GTvisitorÔxK∑Ä˝
00:15:C7:AA:D5:31, 2012-03-03 15:32:31, -67, 1, 3627, 10, GTwirelessxK∑Ä˝
00:15:C7:AB:38:B7, 2012-03-03 15:32:31, -59, 1, 2095, 9, GTvisitorsxK∑Ä˝
00:1C:58:73:A7:62, 2012-03-03 15:32:31, -86, 1, 3075, 9, GTvisitorsxK∑Ä˝
00:15:C7:AA:D1:A1, 2012-03-03 15:32:31, -59, 1, 3432, 10, GTwirelessxK∑Ä˝
34:08:04:E1:48:58, 2012-03-03 15:32:31, -83, 2, 872, 7, stratusessxK∑Ä˝
00:15:C7:AA:D1:A4, 2012-03-03 15:32:31, -62, 1, 3433, 5, GTwpausessxK∑Ä˝
00:15:C7:AA:D5:37, 2012-03-03 15:32:31, -66, 1, 3629, 9, GTvisitorsxK∑Ä˝
00:15:C7:AB:38:B4, 2012-03-03 15:32:31, -58, 1, 2097, 5, GTwpaitorsxK∑Ä˝
00:15:C7:AA:D1:A7, 2012-03-03 15:32:31, -61, 1, 3434, 9, GTvisitorsxK∑Ä˝
00:1C:58:73:A7:61, 2012-03-03 15:32:31, -85, 1, 3077, 5, GTwpaitorsxK∑Ä˝
00:15:C7:AB:04:27, 2012-03-03 15:32:31, -79, 1, 1146, 9, GTvisitorsxK∑Ä˝
00:15:C7:AA:D5:31, 2012-03-03 15:32:31, -67, 1, 3630, 10, GTwirelessxK∑Ä˝
00:15:C7:AB:38:B7, 2012-03-03 15:32:31, -58, 1, 2098, 9, GTvisitorsxK∑Ä˝
00:1C:58:73:A7:62, 2012-03-03 15:32:31, -85, 1, 3078, 9, GTvisitorsxK∑Ä˝
00:15:C7:AA:D1:A1, 2012-03-03 15:32:31, -61, 1, 3435, 10, GTwirelessxK∑Ä˝
00:19:A9:43:1C:D1, 2012-03-03 15:32:31, -88, -1, 3793, 0, GTwirelessxK∑Ä˝
00:15:C7:AB:04:21, 2012-03-03 15:32:31, -79, 1, 1147, 10, GTwirelessxK∑Ä˝
00:15:C7:AA:D5:34, 2012-03-03 15:32:31, -66, 1, 3631, 5, GTwpaelessxK∑Ä˝
00:1C:58:73:A7:60, 2012-03-03 15:32:31, -86, 1, 3079, 10, GTwirelessxK∑Ä˝
00:15:C7:AB:38:B1, 2012-03-03 15:32:31, -59, 1, 2099, 10, GTwirelessxK∑Ä˝
00:15:C7:AA:D1:A4, 2012-03-03 15:32:31, -62, 1, 3439, 5, GTwpaelessxK∑Ä˝
00:15:C7:AA:D5:37, 2012-03-03 15:32:31, -66, 1, 3632, 9, GTvisitorsxK∑Ä˝
00:19:A9:43:1C:D4, 2012-03-03 15:32:31, -84, 1, 3794, 5, GTwpaitorsxK∑Ä˝
00:15:C7:AB:04:24, 2012-03-03 15:32:31, -80, 1, 1148, 5, GTwpaitorsxK∑Ä˝
00:15:C7:AB:38:B4, 2012-03-03 15:32:31, -57, 1, 2100, 5, GTwpaitorsxK∑Ä˝
00:15:C7:AA:D1:A7, 2012-03-03 15:32:31, -63, 1, 3440, 9, GTvisitorsxK∑Ä˝
00:1C:58:73:A7:61, 2012-03-03 15:32:31, -83, 1, 3080, 5, GTwpaitorsxK∑Ä˝
00:19:A9:43:1C:D7, 2012-03-03 15:32:31, -85, 1, 3795, 9, GTvisitorsxK∑Ä˝
00:15:C7:AB:04:27, 2012-03-03 15:32:31, -81, 1, 1149, 9, GTvisitorsxK∑Ä˝
08:1F:F3:B3:EB:44, 2012-03-03 15:32:31, -85, 1, 2980, 5, GTwpaitorsxK∑Ä˝
00:15:C7:AA:D5:31, 2012-03-03 15:32:31, -66, 1, 3633, 10, GTwirelessxK∑Ä˝
00:15:C7:AB:38:B7, 2012-03-03 15:32:31, -56, 1, 2101, 9, GTvisitorsxK∑Ä˝
00:1C:58:73:A7:62, 2012-03-03 15:32:31, -85, 1, 3081, 9, GTvisitorsxK∑Ä˝
00:15:C7:AA:D1:A1, 2012-03-03 15:32:31, -63, 1, 3441, 10, GTwirelessxK∑Ä˝
00:19:A9:43:1C:D1, 2012-03-03 15:32:31, -84, 1, 3796, 10, GTwirelessxK∑Ä˝
00:15:C7:AA:D5:34, 2012-03-03 15:32:31, -66, 1, 3634, 5, GTwpaelessxK∑Ä˝
00:1C:58:73:A7:60, 2012-03-03 15:32:31, -85, 1, 3082, 10, GTwirelessxK∑Ä˝
00:15:C7:AB:38:B1, 2012-03-03 15:32:31, -56, 1, 2102, 10, GTwirelessxK∑Ä˝
00:15:C7:AA:D1:A4, 2012-03-03 15:32:31, -65, 1, 3442, 5, GTwpaelessxK∑Ä˝
00:19:A9:43:1C:D7, 2012-03-03 15:32:31, -81, 1, 3801, 9, GTvisitorsxK∑Ä˝
00:15:C7:AB:04:27, 2012-03-03 15:32:31, -81, 1, 1152, 9, GTvisitorsxK∑Ä˝
08:1F:F3:B3:EB:44, 2012-03-03 15:32:31, -89, 1, 2983, 15, ¨.(
00:15:C7:AA:D5:31, 2012-03-03 15:32:31, -64, 1, 3639, 10, GTwireless
00:15:C7:AB:38:B7, 2012-03-03 15:32:31, -62, 1, 2107, 9, GTvisitors
00:1C:58:73:A7:62, 2012-03-03 15:32:31, -82, 1, 3084, 9, GTvisitors
00:15:C7:AA:D1:A1, 2012-03-03 15:32:31, -68, 1, 3447, 10, GTwireless
00:19:A9:43:1C:D1, 2012-03-03 15:32:31, -81, 1, 3802, 10, GTwireless
00:15:C7:AB:04:21, 2012-03-03 15:32:31, -81, 1, 1153, 10, GTwireless
08:1F:F3:B3:EB:41, 2012-03-03 15:32:31, -87, 1, 2984, 10, GTwireless
00:15:C7:AA:D5:34, 2012-03-03 15:32:31, -64, 1, 3640, 5, GTwpaeless
00:1C:58:73:A7:60, 2012-03-03 15:32:31, -84, 1, 3085, 10, GTwireless
00:15:C7:AB:38:B1, 2012-03-03 15:32:31, -62, 1, 2108, 10, GTwireless
34:08:04:E1:48:58, 2012-03-03 15:32:31, -79, 2, 875, 7, stratusess
00:15:C7:AA:D1:A4, 2012-03-03 15:32:31, -68, 1, 3448, 5, GTwpausess
00:15:C7:AA:D5:37, 2012-03-03 15:32:31, -64, 1, 3641, 9, GTvisitors
00:19:A9:43:1C:D4, 2012-03-03 15:32:31, -82, 1, 3803, 5, GTwpaitors
00:15:C7:AB:04:24, 2012-03-03 15:32:31, -80, 1, 1154, 5, GTwpaitors
00:15:C7:AB:38:B4, 2012-03-03 15:32:31, -60, 1, 2133, 5, GTwpaitors
00:15:C7:AA:D1:A7, 2012-03-03 15:32:31, -61, 1, 3476, 9, GTvisitors
00:1C:58:73:A7:61, 2012-03-03 15:32:31, -85, 1, 3113, 5, GTwpaitors
00:19:A9:43:1C:D7, 2012-03-03 15:32:31, -84, 1, 3825, 9, GTvisitors
00:15:C7:AB:04:27, 2012-03-03 15:32:31, -83, 1, 1176, 9, GTvisitors
00:15:C7:AA:D5:31, 2012-03-03 15:32:31, -65, 1, 3666, 10, GTwireless
00:15:C7:AB:38:B7, 2012-03-03 15:32:31, -63, 1, 2134, 9, GTvisitors
00:1C:58:73:A7:62, 2012-03-03 15:32:31, -85, 1, 3114, 9, GTvisitors
00:15:C7:AA:D1:A1, 2012-03-03 15:32:31, -63, 1, 3477, 10, GTwireless
08:1F:F3:B3:EB:44, 2012-03-03 15:32:31, -89, 1, 3967, 61, ..
00:19:A9:43:1C:D1, 2012-03-03 15:32:31, -84, 1, 3826, 10, GTwireless
00:15:C7:AB:04:21, 2012-03-03 15:32:31, -83, 1, 1177, 10, GTwireless
00:15:C7:AA:D5:34, 2012-03-03 15:32:31, -65, 1, 3667, 5, GTwpaeless
00:1C:58:73:A7:60, 2012-03-03 15:32:31, -83, 1, 3115, 10, GTwireless
00:13:10:43:4F:22, 2012-03-03 15:32:31, -85, 1, 3928, 7, OpenWrtess
00:15:C7:AA:D1:A4, 2012-03-03 15:32:31, -61, 1, 3478, 5, GTwpartess
08:1F:F3:B3:EB:47, 2012-03-03 15:32:31, -87, -1, 3009, 0, GTwpartess
00:15:C7:AA:D5:37, 2012-03-03 15:32:31, -65, 1, 3668, 9, GTvisitors
00:19:A9:43:1C:D4, 2012-03-03 15:32:31, -84, 1, 3827, 5, GTwpaitors
00:15:C7:AB:04:24, 2012-03-03 15:32:31, -83, 1, 1178, 5, GTwpaitors
00:15:C7:AB:38:B4, 2012-03-03 15:32:31, -60, 1, 2136, 5, GTwpaitors
00:15:C7:AA:D1:A7, 2012-03-03 15:32:31, -60, 1, 3479, 9, GTvisitors
00:1C:58:73:A7:61, 2012-03-03 15:32:31, -84, 1, 3122, 5, GTwpaitors
00:15:C7:AB:04:27, 2012-03-03 15:32:31, -83, 1, 1179, 9, GTvisitor
00:15:C7:AB:38:B7, 2012-03-03 15:32:31, -60, 1, 2137, 9, GTvisitor
00:1C:58:73:A7:62, 2012-03-03 15:32:31, -84, 1, 3123, 9, GTvisitor
00:15:C7:AA:D1:A1, 2012-03-03 15:32:31, -61, 1, 3480, 10, GTwireless
08:1F:F3:B3:EB:44, 2012-03-03 15:32:31, -87, 1, 3010, 61, ..
00:19:A9:43:1C:D1, 2012-03-03 15:32:31, -85, 1, 3829, 10, GTwireless
00:15:C7:AB:04:21, 2012-03-03 15:32:31, -82, 1, 1180, 10, GTwireless
00:15:C7:AA:D5:34, 2012-03-03 15:32:31, -68, 1, 3670, 5, GTwpaeless
00:13:10:43:4F:22, 2012-03-03 15:32:31, -85, 1, 3929, 7, OpenWrtess
00:15:C7:AB:38:B1, 2012-03-03 15:32:31, -60, 1, 2138, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-03-03 15:32:31, -61, 1, 3481, 5, GTwpaeless
08:1F:F3:B3:EB:41, 2012-03-03 15:32:31, -86, 1, 3011, 10, GTªoreless
00:15:C7:AA:D5:37, 2012-03-03 15:32:31, -68, 1, 3671, 9, GTvisitors
00:15:C7:AB:38:B4, 2012-03-03 15:32:31, -60, 1, 2139, 5, GTwpaitors
00:15:C7:AA:D1:A7, 2012-03-03 15:32:31, -62, 1, 3482, 9, GTvisitors
00:1C:58:73:A7:61, 2012-03-03 15:32:31, -84, 1, 3128, 5, GTwpaitors
00:19:A9:43:1C:D7, 2012-03-03 15:32:31, -86, 1, 3831, 9, GTvisitors
00:15:C7:AB:04:27, 2012-03-03 15:32:31, -82, 1, 1182, 9, GTvisitors
00:15:C7:AA:D5:31, 2012-03-03 15:32:31, -68, 1, 3672, 10, GTwireless
00:15:C7:AB:38:B7, 2012-03-03 15:32:31, -61, 1, 2140, 9, GTvisitor
00:1C:58:73:A7:62, 2012-03-03 15:32:31, -85, 1, 3129, 9, GTvisitor
00:15:C7:AA:D1:A1, 2012-03-03 15:32:31, -61, 1, 3483, 10, GTwireless
00:19:A9:43:1C:D1, 2012-03-03 15:32:31, -86, 1, 3832, 10, GTwireless
00:15:C7:AB:04:21, 2012-03-03 15:32:31, -83, 1, 1183, 10, GTwireless
00:15:C7:AA:D5:34, 2012-03-03 15:32:31, -68, 1, 3673, 5, GTwpaeless
00:1C:58:73:A7:60, 2012-03-03 15:32:31, -84, 1, 3130, 10, GTwireless
00:13:10:43:4F:22, 2012-03-03 15:32:31, -86, 1, 3930, 7, OpenWrtess
00:15:C7:AB:38:B1, 2012-03-03 15:32:31, -61, 1, 2141, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-03-03 15:32:31, -62, 1, 3484, 5, GTwpaeless
00:15:C7:AA:D5:37, 2012-03-03 15:32:31, -68, 1, 3674, 9, GTvisitors
00:15:C7:AB:38:B4, 2012-03-03 15:32:31, -58, 1, 2145, 5, GTwpaitors
00:15:C7:AA:D1:A7, 2012-03-03 15:32:31, -62, 1, 3488, 9, GTvisitors
00:1C:58:73:A7:61, 2012-03-03 15:32:31, -84, 1, 3131, 5, GTwpaitors
00:19:A9:43:1C:D7, 2012-03-03 15:32:31, -86, 1, 3834, 9, GTvisitors
00:15:C7:AB:04:27, 2012-03-03 15:32:31, -83, 1, 1188, 9, GTvisitors
00:15:C7:AA:D5:31, 2012-03-03 15:32:31, -68, 1, 3675, 10, GTwireless
00:15:C7:AB:38:B7, 2012-03-03 15:32:31, -59, 1, 2146, 9, GTvisitors
00:1C:58:73:A7:62, 2012-03-03 15:32:31, -83, 1, 3132, 9, GTvisitors
00:15:C7:AA:D1:A1, 2012-03-03 15:32:31, -65, 1, 3489, 10, GTwireless
00:19:A9:43:1C:D1, 2012-03-03 15:32:31, -86, 1, 3835, 10, GTwireless
00:15:C7:AA:D5:34, 2012-03-03 15:32:31, -68, 1, 3676, 5, GTwpaeless
00:1C:58:73:A7:60, 2012-03-03 15:32:31, -84, 1, 3133, 10, GTwireless
00:13:10:43:4F:22, 2012-03-03 15:32:31, -86, 1, 3931, 7, OpenWrtess
