BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AA:D1:A7, 2012-03-03 15:20:51, -45, 1, 56, 9, GTvisitorïØC·˜€‹
00:15:C7:AB:04:21, 2012-03-03 15:20:51, -84, 1, 3903, 10, GTwirelessØC·˜€‹
00:15:C7:AA:D5:34, 2012-03-03 15:20:51, -74, 1, 897, 5, GTwpaelessØC·˜€‹
00:13:10:43:4F:22, 2012-03-03 15:20:51, -80, 1, 1149, 7, OpenWrtessØC·˜€‹
00:15:C7:AA:D1:A4, 2012-03-03 15:20:51, -44, 1, 58, 5, GTwpartessØC·˜€‹
00:15:C7:AA:D5:37, 2012-03-03 15:20:51, -75, 1, 898, 9, GTvisitorsØC·˜€‹
00:15:C7:AB:04:24, 2012-03-03 15:20:51, -83, 1, 3904, 5, GTwpaitorsØC·˜€‹
00:15:C7:AB:38:B4, 2012-03-03 15:20:51, -84, 1, 3666, 5, GTwpaitorsØC·˜€‹
00:15:C7:AA:D1:A7, 2012-03-03 15:20:51, -43, 1, 59, 9, GTvisitorsØC·˜€‹
00:22:B0:CB:22:8F, 2012-03-03 15:20:51, -76, 3, 2510, 10, MC2LabNetAØC·˜€‹
00:15:C7:AA:D5:31, 2012-03-03 15:20:51, -74, 1, 899, 10, GTwirelessØC·˜€‹
00:15:C7:AA:D1:A1, 2012-03-03 15:20:51, -45, 1, 60, 10, GTwirelessØC·˜€‹
00:15:C7:AB:04:21, 2012-03-03 15:20:51, -82, 1, 3906, 10, GTwirelessØC·˜€‹
00:15:C7:AA:D5:34, 2012-03-03 15:20:51, -73, 1, 900, 5, GTwpaelessØC·˜€‹
00:23:69:56:51:AB, 2012-03-03 15:20:51, -83, 3, 1053, 9, 
00:13:10:43:4F:22, 2012-03-03 15:20:51, -79, 1, 1150, 7, OpenWrt
00:15:C7:AA:D5:37, 2012-03-03 15:20:51, -73, 1, 901, 9, GTvisitorsØC·˜€‹
00:15:C7:AB:04:24, 2012-03-03 15:20:51, -83, 1, 3907, 5, GTwpaitorsØC·˜€‹
00:15:C7:AA:D1:A7, 2012-03-03 15:20:51, -45, 1, 63, 9, GTvisitorsØC·˜€‹
00:19:A9:43:1C:D7, 2012-03-03 15:20:51, -82, 1, 2471, 9, GTvisitorsØC·˜€‹
00:15:C7:AB:04:27, 2012-03-03 15:20:51, -83, 1, 3908, 9, GTvisitorsØC·˜€‹
00:15:C7:AA:D5:31, 2012-03-03 15:20:51, -72, 1, 904, 10, GTwirelessØC·˜€‹
00:15:C7:AA:D1:A1, 2012-03-03 15:20:51, -44, 1, 68, 10, GTwirelessØC·˜€‹
00:19:A9:43:1C:D1, 2012-03-03 15:20:51, -86, 1, 2475, 10, GTwirelessØC·˜€‹
00:15:C7:AB:04:21, 2012-03-03 15:20:51, -83, 1, 3912, 10, GTwirelessØC·˜€‹
00:15:C7:AA:D5:34, 2012-03-03 15:20:51, -71, 1, 908, 5, GTwpaelessØC·˜€‹
00:13:10:43:4F:22, 2012-03-03 15:20:51, -78, 1, 1151, 7, OpenWrtessØC·˜€‹
00:15:C7:AA:D1:A4, 2012-03-03 15:20:51, -44, 1, 69, 5, GTwpa
00:15:C7:AA:D5:37, 2012-03-03 15:20:51, -71, 1, 909, 9, GTvisitor
00:15:C7:AB:04:24, 2012-03-03 15:20:51, -82, 1, 3913, 5, GTwpaitor
00:15:C7:AB:38:B4, 2012-03-03 15:20:51, -78, 1, 3675, 5, GTwpaitor
00:15:C7:AA:D1:A7, 2012-03-03 15:20:51, -45, 1, 70, 9, GTvisitor
00:22:B0:CB:22:8F, 2012-03-03 15:20:51, -74, 3, 2512, 10, MC2LabNetA
00:15:C7:AA:D5:31, 2012-03-03 15:20:51, -69, 1, 910, 10, GTwireless
00:15:C7:AB:38:B7, 2012-03-03 15:20:51, -78, 1, 3676, 9, GTvisitors
00:15:C7:AA:D1:A1, 2012-03-03 15:20:51, -45, 1, 74, 10, GTwireless
00:19:A9:43:1C:D1, 2012-03-03 15:20:51, -87, 1, 2478, 10, GTwireless
00:15:C7:AB:04:21, 2012-03-03 15:20:51, -84, 1, 3915, 10, GTwireless
00:15:C7:AA:D5:34, 2012-03-03 15:20:51, -69, 1, 914, 5, GTwpaeless
00:23:69:56:51:AB, 2012-03-03 15:20:51, -86, 3, 1055, 9, 
00:15:C7:AA:D1:A4, 2012-03-03 15:20:51, -45, 1, 75, 5, GTwpa
00:15:C7:AA:D5:37, 2012-03-03 15:20:51, -68, 1, 915, 9, GTvisitor
00:15:C7:AB:38:B4, 2012-03-03 15:20:51, -78, 1, 3681, 5, GTwpaitor
00:22:B0:CB:22:8F, 2012-03-03 15:20:51, -75, 3, 2513, 10, MC2LabNetA
00:15:C7:AA:D5:31, 2012-03-03 15:20:51, -68, 1, 916, 10, GTwireless
08:1F:F3:B3:EB:41, 2012-03-03 15:20:51, -86, 1, 1883, 10, GTwireless
00:15:C7:AB:38:B7, 2012-03-03 15:20:51, -78, 1, 3682, 9, GTvisitors
00:15:C7:AA:D1:A1, 2012-03-03 15:20:51, -43, 1, 77, 10, GTwireless
00:19:A9:43:1C:D1, 2012-03-03 15:20:51, -85, 1, 2481, 10, GTwireless
00:15:C7:AA:D5:34, 2012-03-03 15:20:51, -69, 1, 917, 5, GTwpaeless
00:23:69:56:51:AB, 2012-03-03 15:20:51, -86, 3, 1056, 9, 
00:13:10:43:4F:22, 2012-03-03 15:20:51, -79, 1, 1153, 7, OpenWrt
00:15:C7:AA:D5:37, 2012-03-03 15:20:51, -68, 1, 918, 9, GTvisitor
00:15:C7:AB:38:B4, 2012-03-03 15:20:51, -78, 1, 3684, 5, GTwpaitor
00:15:C7:AA:D1:A7, 2012-03-03 15:20:51, -43, 1, 79, 9, GTvisitor
00:22:B0:CB:22:8F, 2012-03-03 15:20:51, -75, 3, 2514, 10, MC2LabNetA
00:15:C7:AA:D5:31, 2012-03-03 15:20:51, -69, 1, 919, 10, GTwireless
00:15:C7:AB:38:B7, 2012-03-03 15:20:51, -80, 1, 3685, 9, GTvisitors
