BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AA:D1:A4, 2012-02-26 13:34:00, -52, 1, 2007, 5, GTwpatú¸øÔJ∑ò@ò	
00:19:A9:43:1C:D7, 2012-02-26 13:34:00, -76, 1, 2262, 9, GTvisitorÔJ∑ò@ò	
00:15:C7:AB:04:21, 2012-02-26 13:34:00, -81, 1, 1051, 10, GTwirelessJ∑ò@ò	
00:15:C7:AB:38:B4, 2012-02-26 13:34:00, -69, 1, 1589, 5, GTwpaelessJ∑ò@ò	
00:15:C7:AA:D5:34, 2012-02-26 13:34:00, -56, 1, 951, 5, GTwpaelessJ∑ò@ò	
00:15:C7:AA:D1:A1, 2012-02-26 13:34:00, -51, 1, 2009, 10, GTwirelessJ∑ò@ò	
00:15:C7:AB:04:27, 2012-02-26 13:34:00, -81, 1, 1053, 9, GTvisitorsJ∑ò@ò	
00:15:C7:AB:38:B1, 2012-02-26 13:34:00, -68, 1, 1591, 10, GTwirelessJ∑ò@ò	
00:15:C7:AA:D5:31, 2012-02-26 13:34:00, -59, 1, 954, 10, GTwirelessJ∑ò@ò	
00:15:C7:AA:D1:A4, 2012-02-26 13:34:00, -52, 1, 2011, 5, GTwpaelessJ∑ò@ò	
00:19:A9:43:1C:D7, 2012-02-26 13:34:00, -77, 1, 2265, 9, GTvisitorsJ∑ò@ò	
00:15:C7:AB:04:21, 2012-02-26 13:34:00, -82, 1, 1054, 10, GTwirelessJ∑ò@ò	
00:15:C7:AB:38:B4, 2012-02-26 13:34:00, -69, 1, 1592, 5, GTwpaelessJ∑ò@ò	
00:15:C7:AA:D5:34, 2012-02-26 13:34:00, -60, 1, 955, 5, GTwpaelessJ∑ò@ò	
00:15:C7:AA:D1:A7, 2012-02-26 13:34:00, -51, 1, 2012, 9, GTvisitorsJ∑ò@ò	
94:44:52:FB:65:B2, 2012-02-26 13:34:00, -78, 1, 2528, 10, belkin.5b2J∑ò@ò	
00:15:C7:AB:38:B7, 2012-02-26 13:34:00, -69, 1, 1593, 9, GTvisitor2J∑ò@ò	
00:15:C7:AA:D5:37, 2012-02-26 13:34:00, -57, 1, 956, 9, GTvisitor2J∑ò@ò	
00:15:C7:AB:04:24, 2012-02-26 13:34:00, -82, 1, 1055, 5, GTwpaitor2J∑ò@ò	
00:13:10:43:4F:22, 2012-02-26 13:34:00, -80, 1, 325, 7, OpenWrtor2J∑ò@ò	
00:15:C7:AA:D1:A1, 2012-02-26 13:34:00, -51, 1, 2013, 10, GTwirelessJ∑ò@ò	
34:08:04:E1:48:58, 2012-02-26 13:34:00, -85, 2, 1142, 7, stratusessJ∑ò@ò	
00:15:C7:AB:38:B1, 2012-02-26 13:34:00, -69, 1, 1594, 10, GTwirelessJ∑ò@ò	
00:19:A9:43:1C:D4, 2012-02-26 13:34:00, -78, 1, 2267, 5, GTwpaelessJ∑ò@ò	
00:15:C7:AA:D5:31, 2012-02-26 13:34:00, -56, 1, 957, 10, GTwirelessJ∑ò@ò	
00:15:C7:AA:D1:A4, 2012-02-26 13:34:00, -53, 1, 2015, 5, GTwpa
00:19:A9:43:1C:D7, 2012-02-26 13:34:00, -77, 1, 2268, 9, GTvisitor
00:15:C7:AB:04:21, 2012-02-26 13:34:00, -81, 1, 1057, 10, GTwireless
00:15:C7:AA:D5:34, 2012-02-26 13:34:00, -56, 1, 958, 5, GTwpaeless
00:15:C7:AA:D1:A7, 2012-02-26 13:34:00, -50, 1, 2016, 9, GTvisitors
94:44:52:FB:65:B2, 2012-02-26 13:34:00, -77, 1, 2529, 10, belkin.5b2
00:15:C7:AB:38:B7, 2012-02-26 13:34:00, -69, 1, 1596, 9, GTvisitor2
00:19:A9:43:1C:D1, 2012-02-26 13:34:00, -80, 1, 2269, 10, GTwireless
00:15:C7:AA:D5:37, 2012-02-26 13:34:00, -57, 1, 959, 9, GTvisitors
00:15:C7:AB:04:24, 2012-02-26 13:34:00, -81, 1, 1058, 5, GTwpaitors
00:15:C7:AA:D1:A1, 2012-02-26 13:34:00, -52, 1, 2017, 10, GTwireless
00:15:C7:AB:38:B1, 2012-02-26 13:34:00, -69, 1, 1597, 10, GTwireless
00:19:A9:43:1C:D4, 2012-02-26 13:34:00, -78, 1, 2270, 5, GTwpaeless
00:15:C7:AA:D5:31, 2012-02-26 13:34:00, -57, 1, 960, 10, GTwireless
00:15:C7:AA:D1:A7, 2012-02-26 13:34:00, -51, 1, 2019, 9, GTvisitor
94:44:52:FB:65:B2, 2012-02-26 13:34:00, -79, 1, 2530, 10, belkin.5b2
00:15:C7:AB:38:B7, 2012-02-26 13:34:00, -68, 1, 1599, 9, GTvisitor2
00:19:A9:43:1C:D1, 2012-02-26 13:34:00, -77, 1, 2272, 10, GTwireless
00:15:C7:AB:04:24, 2012-02-26 13:34:00, -79, 1, 1061, 5, GTwpaeless
00:22:B0:CB:22:8F, 2012-02-26 13:34:00, -87, 3, 694, 10, MC2LabNetA
00:15:C7:AA:D1:A1, 2012-02-26 13:34:00, -52, 1, 2020, 10, GTwireless
00:15:C7:AB:04:27, 2012-02-26 13:34:00, -78, 1, 1062, 9, GTvisitors
00:15:C7:AB:38:B1, 2012-02-26 13:34:00, -68, 1, 1600, 10, GTwireless
00:15:C7:AA:D5:31, 2012-02-26 13:34:00, -58, 1, 963, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-02-26 13:34:00, -51, 1, 2021, 5, GTwpaeless
00:19:A9:43:1C:D7, 2012-02-26 13:34:00, -77, 1, 2274, 9, GTvisitors
00:15:C7:AB:04:21, 2012-02-26 13:34:00, -79, 1, 1063, 10, GTwireless
00:15:C7:AB:38:B4, 2012-02-26 13:34:00, -68, 1, 1601, 5, GTwpaeless
00:15:C7:AA:D5:34, 2012-02-26 13:34:00, -59, 1, 964, 5, GTwpaeless
00:15:C7:AA:D1:A7, 2012-02-26 13:34:00, -51, 1, 2022, 9, GTvisitors
00:15:C7:AB:38:B7, 2012-02-26 13:34:00, -69, 1, 1602, 9, GTvisitors
00:19:A9:43:1C:D1, 2012-02-26 13:34:00, -77, 1, 2275, 10, GTwireless
00:15:C7:AA:D5:37, 2012-02-26 13:34:00, -58, 1, 965, 9, GTvisitors
00:15:C7:AB:04:24, 2012-02-26 13:34:00, -78, 1, 1064, 5, GTwpaitors
00:15:C7:AA:D1:A1, 2012-02-26 13:34:00, -51, 1, 2025, 10, GTwireless
00:15:C7:AB:38:B1, 2012-02-26 13:34:00, -69, 1, 1603, 10, GTwireless
00:19:A9:43:1C:D4, 2012-02-26 13:34:00, -79, 1, 2276, 5, GTwpaeless
00:15:C7:AA:D5:31, 2012-02-26 13:34:00, -59, 1, 966, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-02-26 13:34:00, -51, 1, 2026, 5, GTwpaeless
00:19:A9:43:1C:D7, 2012-02-26 13:34:00, -79, 1, 2277, 9, GTvisitors
00:15:C7:AB:04:21, 2012-02-26 13:34:00, -80, 1, 1066, 10, GTwireless
00:15:C7:AB:38:B4, 2012-02-26 13:34:00, -69, 1, 1604, 5, GTwpaeless
00:15:C7:AA:D5:34, 2012-02-26 13:34:01, -59, 1, 967, 5, GTwpaeless
00:15:C7:AA:D1:A7, 2012-02-26 13:34:01, -51, 1, 2027, 9, GTvisitors
00:15:C7:AB:38:B7, 2012-02-26 13:34:01, -69, 1, 1605, 9, GTvisitors
00:19:A9:43:1C:D1, 2012-02-26 13:34:01, -78, 1, 2278, 10, GTwireless
