BSSID, time, power, channel, sequence, essid_length, ESSID
00:22:B0:ED:60:DE, 2012-03-03 15:39:28, -71, 11, 2147, 5, dlink‡ÊøÔËN∑Ä–c	
00:0D:28:3E:95:A8, 2012-03-03 15:39:28, -68, 11, 1665, 4, johnk‡ÊøÔËN∑Ä–c	
00:15:C7:AA:D6:64, 2012-03-03 15:39:28, -74, 11, 3708, 5, GTwpa‡ÊøÔËN∑Ä–c	
00:15:C7:AB:8F:D1, 2012-03-03 15:39:28, -86, 11, 1766, 10, GTwirelessËN∑Ä–c	
08:1F:F3:E1:98:F1, 2012-03-03 15:39:28, -81, 11, 1464, 10, GTwirelessËN∑Ä–c	
00:12:44:B9:1C:D4, 2012-03-03 15:39:28, -76, 11, 3426, 5, GTwpaelessËN∑Ä–c	
C4:3D:C7:9D:E1:42, 2012-03-03 15:39:28, -64, 11, 2048, 7, BISmarkessËN∑Ä–c	
00:15:C7:AA:D6:67, 2012-03-03 15:39:28, -75, 11, 3709, 9, GTvisitorsËN∑Ä–c	
00:15:C7:AB:8F:D4, 2012-03-03 15:39:28, -87, 11, 1767, 80, Ú..
00:15:C7:AB:8F:D7, 2012-03-03 15:39:28, -86, 11, 1768, 9, GTvisitor
20:4E:7F:4A:74:78, 2012-03-03 15:39:28, -71, 11, 3009, 7, BISmarkor
C4:3D:C7:B0:AE:63, 2012-03-03 15:39:28, -69, 11, 3548, 7, BISmarkor
00:22:B0:ED:60:DE, 2012-03-03 15:39:28, -63, 11, 2148, 5, dlinkrkor
00:0D:28:3E:95:A8, 2012-03-03 15:39:28, -70, 11, 1666, 4, johnkrkor
00:15:C7:AA:D6:64, 2012-03-03 15:39:28, -74, 11, 3711, 5, GTwparkor
08:1F:F3:E1:98:F1, 2012-03-03 15:39:28, -79, 11, 1467, 10, GTwireless
00:15:C7:AB:04:21, 2012-03-03 15:39:28, -55, 1, 2186, 10, GTwireless
00:13:10:43:4F:22, 2012-03-03 15:39:28, -71, 1, 3998, 7, OpenWrtess
00:15:C7:AA:D5:34, 2012-03-03 15:39:28, -62, 1, 1331, 5, GTwpartess
00:15:C7:AB:38:B1, 2012-03-03 15:39:28, -76, 1, 3669, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-03-03 15:39:28, -77, 1, 1133, 5, GTwpaeless
00:15:C7:AA:D5:37, 2012-03-03 15:39:28, -61, 1, 1332, 9, GTvisitors
00:15:C7:AB:04:24, 2012-03-03 15:39:28, -55, 1, 2187, 5, GTwpaitors
08:1F:F3:B3:EB:44, 2012-03-03 15:39:28, -78, 1, 2820, 5, GTwpaitors
00:15:C7:AA:D1:A7, 2012-03-03 15:39:28, -77, 1, 1134, 9, GTvisitors
00:15:C7:AB:38:B4, 2012-03-03 15:39:28, -75, 1, 3670, 5, GTwpaitors
00:15:C7:AB:04:27, 2012-03-03 15:39:28, -54, 1, 2188, 9, GTvisitors
00:15:C7:AA:D5:31, 2012-03-03 15:39:28, -61, 1, 1333, 10, GTwireless
00:15:C7:AB:38:B7, 2012-03-03 15:39:28, -75, 1, 3671, 9, GTvisitors
08:1F:F3:B3:EB:41, 2012-03-03 15:39:28, -79, 1, 2821, 10, GTwireless
00:15:C7:AA:D1:A1, 2012-03-03 15:39:28, -76, 1, 1135, 10, GTwireless
