BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AA:D5:37, 2012-03-03 15:52:46, -72, 1, 1698, 9, GTvisitorÔ8M∑Ä∞g	
00:15:C7:AB:06:07, 2012-03-03 15:52:46, -58, 1, 143, 9, GTvisitorÔ8M∑Ä∞g	
00:15:C7:AA:D5:31, 2012-03-03 15:52:46, -74, 1, 1699, 10, GTwireless8M∑Ä∞g	
00:16:9C:48:F1:07, 2012-03-03 15:52:46, -82, 1, 1490, 9, GTvisitors8M∑Ä∞g	
00:15:C7:AA:D1:A1, 2012-03-03 15:52:46, -75, 1, 1423, 10, GTwireless8M∑Ä∞g	
34:08:04:E1:48:58, 2012-03-03 15:52:46, -63, 2, 424, 7, stratusess8M∑Ä∞g	
00:15:C7:AA:D5:34, 2012-03-03 15:52:46, -74, 1, 1700, 5, GTwpausess8M∑Ä∞g	
00:16:9C:48:F1:01, 2012-03-03 15:52:46, -81, 1, 1491, 10, GTwireless8M∑Ä∞g	
00:15:C7:AA:D1:A4, 2012-03-03 15:52:46, -76, 1, 1425, 5, GTwpaeless8M∑Ä∞g	
00:15:C7:AB:06:04, 2012-03-03 15:52:46, -60, 1, 145, 5, GTwpaeless8M∑Ä∞g	
00:15:C7:AA:D5:37, 2012-03-03 15:52:46, -74, 1, 1701, 9, GTvisitors8M∑Ä∞g	
00:22:B0:CB:22:8F, 2012-03-03 15:52:46, -78, 3, 599, 10, MC2LabNetA8M∑Ä∞g	
00:16:9C:48:F1:04, 2012-03-03 15:52:46, -81, 1, 1492, 5, GTwpabNetA8M∑Ä∞g	
00:15:C7:AB:06:07, 2012-03-03 15:52:46, -59, 1, 146, 9, GTvisitorA8M∑Ä∞g	
00:15:C7:AA:D5:31, 2012-03-03 15:52:46, -74, 1, 1702, 10, GTwireless8M∑Ä∞g	
00:16:9C:48:F1:07, 2012-03-03 15:52:46, -82, 1, 1493, 9, GTvisitors8M∑Ä∞g	
00:15:C7:AB:06:01, 2012-03-03 15:52:46, -61, 1, 147, 10, GTwireless8M∑Ä∞g	
34:08:04:E1:48:58, 2012-03-03 15:52:46, -65, 2, 425, 7, stratusess8M∑Ä∞g	
00:15:C7:AA:D5:34, 2012-03-03 15:52:46, -72, 1, 1703, 5, GTwpausess8M∑Ä∞g	
00:16:9C:48:F1:01, 2012-03-03 15:52:46, -83, 1, 1494, 10, GTwireless8M∑Ä∞g	
00:15:C7:AA:D1:A4, 2012-03-03 15:52:46, -74, 1, 1437, 5, GTwpaeless8M∑Ä∞g	
00:15:C7:AB:06:04, 2012-03-03 15:52:46, -60, 1, 148, 5, GTwpaeless8M∑Ä∞g	
00:15:C7:AA:D5:37, 2012-03-03 15:52:46, -72, 1, 1704, 9, GTvisitors8M∑Ä∞g	
00:15:C7:AB:04:24, 2012-03-03 15:52:46, -85, 1, 3481, 5, GTwpaitors8M∑Ä∞g	
00:15:C7:AA:D1:A7, 2012-03-03 15:52:46, -74, 1, 1440, 9, GTvisitors8M∑Ä∞g	
00:16:9C:48:F1:04, 2012-03-03 15:52:46, -82, 1, 1495, 5, GTwpaitors8M∑Ä∞g	
00:15:C7:AB:06:07, 2012-03-03 15:52:46, -60, 1, 149, 9, GTvisitors8M∑Ä∞g	
00:16:9C:48:F1:07, 2012-03-03 15:52:46, -83, 1, 1496, 9, GTvisitors8M∑Ä∞g	
00:15:C7:AA:D1:A1, 2012-03-03 15:52:46, -75, 1, 1451, 10, GTwireless8M∑Ä∞g	
00:15:C7:AB:06:01, 2012-03-03 15:52:46, -62, 1, 150, 10, GTwireless8M∑Ä∞g	
00:13:10:43:4F:22, 2012-03-03 15:52:46, -84, 1, 3811, 7, OpenWrtess8M∑Ä∞g	
34:08:04:E1:48:58, 2012-03-03 15:52:46, -65, 2, 426, 7, stratusess8M∑Ä∞g	
00:15:C7:AA:D5:34, 2012-03-03 15:52:46, -75, 1, 1706, 5, GTwpausess8M∑Ä∞g	
00:15:C7:AA:D1:A4, 2012-03-03 15:52:46, -80, 1, 1455, 5, GTwpausess8M∑Ä∞g	
00:15:C7:AB:06:04, 2012-03-03 15:52:46, -62, 1, 151, 5, GTwpausess8M∑Ä∞g	
00:15:C7:AA:D5:37, 2012-03-03 15:52:46, -75, 1, 1707, 9, GTvisitors8M∑Ä∞g	
00:15:C7:AB:04:24, 2012-03-03 15:52:46, -85, 1, 3484, 5, GTwpaitors8M∑Ä∞g	
00:15:C7:AA:D1:A7, 2012-03-03 15:52:46, -74, 1, 1456, 9, GTvisitors8M∑Ä∞g	
00:16:9C:48:F1:04, 2012-03-03 15:52:46, -83, 1, 1498, 5, GTwpaitors8M∑Ä∞g	
00:15:C7:AB:06:07, 2012-03-03 15:52:46, -60, 1, 152, 9, GTvisitors8M∑Ä∞g	
00:15:C7:AB:04:27, 2012-03-03 15:52:46, -84, 1, 3485, 9, GTvisitors8M∑Ä∞g	
00:15:C7:AA:D5:31, 2012-03-03 15:52:46, -76, 1, 1708, 10, GTwireless8M∑Ä∞g	
00:16:9C:48:F1:07, 2012-03-03 15:52:46, -81, 1, 1499, 9, GTvisitors8M∑Ä∞g	
00:15:C7:AA:D1:A1, 2012-03-03 15:52:46, -73, 1, 1461, 10, GTwireless8M∑Ä∞g	
00:15:C7:AB:06:01, 2012-03-03 15:52:46, -60, 1, 153, 10, GTwireless8M∑Ä∞g	
00:13:10:43:4F:22, 2012-03-03 15:52:46, -84, 1, 3812, 7, OpenWrtess8M∑Ä∞g	
34:08:04:E1:48:58, 2012-03-03 15:52:46, -66, 2, 427, 7, stratusess8M∑Ä∞g	
00:15:C7:AA:D5:34, 2012-03-03 15:52:46, -77, 1, 1709, 5, GTwpausess8M∑Ä∞g	
00:16:9C:48:F1:01, 2012-03-03 15:52:46, -81, 1, 2110, 10, GTwireless8M∑Ä∞g	
