BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AA:D6:64, 2012-02-26 16:28:20, -73, 11, 3392, 5, GTwpaäž¿ïx^·€p»
00:16:9C:48:EF:E4, 2012-02-26 16:28:20, -75, 11, 2637, 5, GTwpaäž¿ïx^·€p»
00:15:C7:AA:D6:67, 2012-02-26 16:28:20, -73, 11, 3393, 9, GTvisitorïx^·€p»
00:16:9C:48:EF:E7, 2012-02-26 16:28:20, -75, 11, 2638, 9, GTvisitorïx^·€p»
00:15:C7:AA:D6:61, 2012-02-26 16:28:20, -72, 11, 3394, 10, GTwirelessx^·€p»
00:16:9C:48:EF:E1, 2012-02-26 16:28:20, -75, 11, 2639, 10, GTwirelessx^·€p»
20:4E:7F:4A:74:78, 2012-02-26 16:28:20, -80, 11, 341, 18, BISmark-3800-quirm€Š·
00:15:C7:AA:D6:64, 2012-02-26 16:28:20, -72, 11, 3395, 5, GTwpark-3800-quirm€Š·
00:16:9C:48:EF:E4, 2012-02-26 16:28:20, -75, 11, 2640, 5, GTwpark-3800-quirm€Š·
9C:4E:20:C9:3F:94, 2012-02-26 16:28:20, -82, 1, 3762, 5, GTwpark-3800-quirm€Š·
00:15:C7:AA:D1:A4, 2012-02-26 16:28:20, -56, 1, 422, 5, GTwpark-3800-quirm€Š·
00:15:C7:AB:06:01, 2012-02-26 16:28:20, -84, 1, 1988, 10, GTwireless00-quirm€Š·
00:15:C7:AA:D1:A7, 2012-02-26 16:28:20, -54, 1, 423, 9, GTvisitors00-quirm€Š·
9C:4E:20:C9:3F:91, 2012-02-26 16:28:20, -82, 1, 3763, 10, GTwireless00-quirm€Š·
00:15:C7:AA:D5:37, 2012-02-26 16:28:20, -85, 1, 1152, 9, GTvisitors00-quirm€Š·
00:15:C7:AB:06:04, 2012-02-26 16:28:20, -84, 1, 1989, 5, GTwpaitors00-quirm€Š·
00:15:C7:AA:D1:A1, 2012-02-26 16:28:20, -55, 1, 424, 10, GTwireless00-quirm€Š·
34:08:04:E1:48:58, 2012-02-26 16:28:20, -79, 2, 1894, 7, stratusess00-quirm€Š·
00:15:C7:AA:D5:31, 2012-02-26 16:28:20, -85, 1, 1153, 10, GTwireless00-quirm€Š·
00:15:C7:AB:06:07, 2012-02-26 16:28:20, -85, 1, 1990, 9, GTvisitors00-quirm€Š·
00:15:C7:AA:D1:A4, 2012-02-26 16:28:20, -54, 1, 425, 5, GTwpaitors00-quirm€Š·
00:15:C7:AA:D5:34, 2012-02-26 16:28:20, -85, -1, 1154, 0, GTwpaitors00-quirm€Š·
00:15:C7:AB:06:01, 2012-02-26 16:28:20, -85, 1, 1991, 10, GTwireless00-quirm€Š·
