BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AA:D1:A1, 2012-03-03 15:32:47, -38, 1, 3615, 10, GTwirelessËY∑h@ˇ
00:15:C7:AA:D1:A1, 2012-03-03 15:32:47, -38, 1, 3615, 10, GTwirelessËY∑h@ˇ
00:15:C7:AB:38:B1, 2012-03-03 15:32:47, -48, 1, 2263, 10, GTwirelessËY∑h@ˇ
00:15:C7:AB:38:B1, 2012-03-03 15:32:47, -48, 1, 2263, 10, GTwirelessËY∑h@ˇ
00:15:C7:AA:D1:A4, 2012-03-03 15:32:47, -37, 1, 3616, 5, GTwpaelessËY∑h@ˇ
00:15:C7:AA:D1:A4, 2012-03-03 15:32:47, -37, 1, 3616, 5, GTwpaelessËY∑h@ˇ
00:15:C7:AA:D5:37, 2012-03-03 15:32:47, -49, 1, 3815, 9, GTvisitorsËY∑h@ˇ
00:15:C7:AA:D5:37, 2012-03-03 15:32:47, -49, 1, 3815, 9, GTvisitorsËY∑h@ˇ
00:15:C7:AA:D5:31, 2012-03-03 15:32:47, -50, 1, 3816, 10, GTwirelessËY∑h@ˇ
00:15:C7:AA:D5:31, 2012-03-03 15:32:47, -50, 1, 3816, 10, GTwirelessËY∑h@ˇ
00:15:C7:AB:38:B7, 2012-03-03 15:32:47, -48, 1, 2265, 9, GTvisitorsËY∑h@ˇ
00:15:C7:AB:38:B7, 2012-03-03 15:32:47, -48, 1, 2265, 9, GTvisitorsËY∑h@ˇ
00:15:C7:AA:D1:A1, 2012-03-03 15:32:47, -37, 1, 3618, 10, GTwirelessËY∑h@ˇ
00:15:C7:AA:D1:A1, 2012-03-03 15:32:47, -37, 1, 3618, 10, GTwirelessËY∑h@ˇ
00:15:C7:AA:D5:34, 2012-03-03 15:32:47, -50, 1, 3817, 5, GTwpaelessËY∑h@ˇ
00:1C:58:73:A7:60, 2012-03-03 15:32:47, -65, 1, 3232, 10, GTwirelessËY∑h@ˇ
00:23:69:56:51:AB, 2012-03-03 15:32:47, -62, 3, 3778, 9, 
00:15:C7:AB:38:B1, 2012-03-03 15:32:47, -47, 1, 2266, 10, GTwirelessËY∑h@ˇ
00:15:C7:AA:D1:A4, 2012-03-03 15:32:47, -38, 1, 3619, 5, GTwpaelessËY∑h@ˇ
00:15:C7:AA:D5:37, 2012-03-03 15:32:47, -50, 1, 3818, 9, GTvisitorsËY∑h@ˇ
00:15:C7:AB:38:B4, 2012-03-03 15:32:47, -47, 1, 2267, 5, GTwpaitorsËY∑h@ˇ
00:15:C7:AA:D1:A7, 2012-03-03 15:32:47, -38, 1, 3620, 9, GTvisitorsËY∑h@ˇ
00:1C:58:73:A7:61, 2012-03-03 15:32:47, -66, 1, 3233, 5, GTwpaitorsËY∑h@ˇ
00:22:B0:CB:22:8F, 2012-03-03 15:32:47, -63, 3, 1067, 10, MC2LabNetAËY∑h@ˇ
00:19:A9:43:1C:D7, 2012-03-03 15:32:47, -65, 1, 3959, 9, GTvisitorAËY∑h@ˇ
00:15:C7:AA:D5:31, 2012-03-03 15:32:47, -50, 1, 3819, 10, GTwirelessËY∑h@ˇ
00:1C:58:73:A7:62, 2012-03-03 15:32:47, -66, 1, 3234, 9, GTvisitorsËY∑h@ˇ
00:15:C7:AA:D1:A1, 2012-03-03 15:32:47, -38, 1, 3621, 10, GTwirelessËY∑h@ˇ
00:15:C7:AA:D5:34, 2012-03-03 15:32:47, -50, 1, 3820, 5, GTwpaelessËY∑h@ˇ
00:1C:58:73:A7:60, 2012-03-03 15:32:47, -65, 1, 3235, 10, GTwirelessËY∑h@ˇ
00:23:69:56:51:AB, 2012-03-03 15:32:47, -62, 3, 3779, 9, 
00:15:C7:AB:38:B1, 2012-03-03 15:32:47, -47, 1, 2269, 10, GTwirelessËY∑h@ˇ
34:08:04:E1:48:58, 2012-03-03 15:32:47, -62, 2, 920, 7, stratusessËY∑h@ˇ
00:15:C7:AA:D5:37, 2012-03-03 15:32:47, -50, 1, 3821, 9, GTvisitorsËY∑h@ˇ
00:15:C7:AB:38:B4, 2012-03-03 15:32:47, -47, 1, 2270, 5, GTwpaitorsËY∑h@ˇ
00:15:C7:AA:D1:A7, 2012-03-03 15:32:47, -38, 1, 3623, 9, GTvisitorsËY∑h@ˇ
00:15:C7:AA:D5:31, 2012-03-03 15:32:47, -51, 1, 3822, 10, GTwirelessËY∑h@ˇ
00:1C:58:73:A7:62, 2012-03-03 15:32:47, -65, 1, 3237, 9, GTvisitorsËY∑h@ˇ
00:19:A9:43:1C:D1, 2012-03-03 15:32:47, -65, 1, 3963, 10, GTwirelessËY∑h@ˇ
00:15:C7:AA:D5:34, 2012-03-03 15:32:47, -51, 1, 3823, 5, GTwpaelessËY∑h@ˇ
00:1C:58:73:A7:60, 2012-03-03 15:32:47, -66, 1, 3238, 10, GTwirelessËY∑h@ˇ
00:13:10:43:4F:22, 2012-03-03 15:32:47, -67, 1, 3966, 7, OpenWrtessËY∑h@ˇ
00:15:C7:AB:38:B1, 2012-03-03 15:32:47, -49, 1, 2272, 10, GTwirelessËY∑h@ˇ
00:15:C7:AA:D5:37, 2012-03-03 15:32:47, -51, 1, 3824, 9, GTvisitorsËY∑h@ˇ
00:15:C7:AB:04:24, 2012-03-03 15:32:47, -62, 1, 1323, 5, GTwpaitorsËY∑h@ˇ
00:15:C7:AB:38:B4, 2012-03-03 15:32:47, -50, 1, 2273, 5, GTwpaitorsËY∑h@ˇ
00:1C:58:73:A7:61, 2012-03-03 15:32:47, -65, 1, 3239, 5, GTwpaitorsËY∑h@ˇ
00:22:B0:CB:22:8F, 2012-03-03 15:32:47, -63, 3, 1069, 10, MC2LabNetAËY∑h@ˇ
00:19:A9:43:1C:D7, 2012-03-03 15:32:47, -66, 1, 3965, 9, GTvisitorAËY∑h@ˇ
00:15:C7:AA:D5:31, 2012-03-03 15:32:47, -51, 1, 3825, 10, GTwirelessËY∑h@ˇ
00:15:C7:AB:38:B7, 2012-03-03 15:32:47, -50, 1, 2274, 9, GTvisitorsËY∑h@ˇ
00:15:C7:AA:D1:A1, 2012-03-03 15:32:47, -38, 1, 3627, 10, GTwirelessËY∑h@ˇ
00:1C:58:73:A7:60, 2012-03-03 15:32:47, -64, 1, 3241, 10, GTwirelessËY∑h@ˇ
00:15:C7:AB:38:B1, 2012-03-03 15:32:47, -50, 1, 2275, 10, GTwirelessËY∑h@ˇ
00:15:C7:AB:38:B4, 2012-03-03 15:32:47, -50, 1, 2276, 5, GTwpa
00:15:C7:AA:D1:A7, 2012-03-03 15:32:47, -37, 1, 3629, 9, GTvisitor
00:22:B0:CB:22:8F, 2012-03-03 15:32:47, -65, 3, 1070, 10, MC2LabNetA
00:19:A9:43:1C:D7, 2012-03-03 15:32:47, -64, 1, 3968, 9, GTvisitorA
00:15:C7:AB:04:27, 2012-03-03 15:32:47, -62, 1, 1327, 9, GTvisitorA
00:15:C7:AA:D5:31, 2012-03-03 15:32:47, -51, 1, 3828, 10, GTwireless
00:15:C7:AB:38:B7, 2012-03-03 15:32:47, -51, 1, 2277, 9, GTvisitors
00:1C:58:73:A7:62, 2012-03-03 15:32:47, -66, 1, 3243, 9, GTvisitors
00:15:C7:AA:D1:A1, 2012-03-03 15:32:47, -37, 1, 3630, 10, GTwireless
00:13:10:43:4F:22, 2012-03-03 15:32:47, -66, 1, 3968, 7, OpenWrtess
34:08:04:E1:48:58, 2012-03-03 15:32:47, -63, 2, 923, 7, stratusess
00:15:C7:AB:38:B4, 2012-03-03 15:32:47, -51, 1, 2279, 5, GTwpa
00:15:C7:AA:D1:A7, 2012-03-03 15:32:47, -38, 1, 3632, 9, GTvisitor
00:1C:58:73:A7:61, 2012-03-03 15:32:47, -65, 1, 3245, 5, GTwpaitor
00:19:A9:43:1C:D7, 2012-03-03 15:32:47, -64, 1, 3971, 9, GTvisitor
00:15:C7:AA:D5:31, 2012-03-03 15:32:47, -50, 1, 3831, 10, GTwireless
00:1C:58:73:A7:62, 2012-03-03 15:32:47, -64, 1, 3246, 9, GTvisitors
00:15:C7:AA:D1:A1, 2012-03-03 15:32:47, -38, 1, 3633, 10, GTwireless
00:15:C7:AA:D5:34, 2012-03-03 15:32:47, -50, 1, 3832, 5, GTwpaeless
00:13:10:43:4F:22, 2012-03-03 15:32:47, -67, 1, 3969, 7, OpenWrtess
00:15:C7:AB:38:B1, 2012-03-03 15:32:47, -51, 1, 2281, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-03-03 15:32:47, -38, 1, 3634, 5, GTwpaeless
00:15:C7:AB:38:B4, 2012-03-03 15:32:47, -51, 1, 2282, 5, GTwpa
00:15:C7:AA:D1:A7, 2012-03-03 15:32:47, -38, 1, 3635, 9, GTvisitor
00:1C:58:73:A7:61, 2012-03-03 15:32:47, -65, 1, 3248, 5, GTwpaitor
00:19:A9:43:1C:D7, 2012-03-03 15:32:47, -67, 1, 3974, 9, GTvisitor
00:15:C7:AA:D5:31, 2012-03-03 15:32:47, -49, 1, 3834, 10, GTwireless
00:15:C7:AB:38:B7, 2012-03-03 15:32:47, -51, 1, 2283, 9, GTvisitors
