2K001,00:15:C7:AA:D1:A1,-64
2K001,00:15:C7:AA:D1:A4,-63
2K001,00:15:C7:AA:D1:A7,-63
2K001,00:15:C7:AA:D6:61,-77
2K001,00:15:C7:AA:D6:64,-77
2K001,00:15:C7:AA:D6:67,-77
2K001,00:15:C7:AB:06:01,-73
2K001,00:15:C7:AB:06:04,-72
2K001,00:15:C7:AB:06:07,-72
2K001,00:15:C7:AB:5A:87,-81
2K001,00:16:9C:48:EF:E1,-67
2K001,00:16:9C:48:EF:E4,-67
2K001,00:16:9C:48:EF:E7,-67
2K001,00:16:9C:49:28:11,-73
2K001,00:16:9C:49:28:14,-73
2K001,00:16:9C:49:28:17,-73
2K001,00:19:07:8E:36:61,-72
2K001,00:19:07:8E:36:64,-72
2K001,00:19:07:8E:36:67,-72
2K001,9C:4E:20:C9:43:51,-79
2K001,9C:4E:20:C9:43:54,-79
2K001,9C:4E:20:C9:43:57,-78
2K002,00:12:44:B9:1C:D1,-82
2K002,00:12:44:B9:1C:D4,-82
2K002,00:12:44:B9:1C:D7,-82
2K002,00:15:C7:AA:D1:A1,-58
2K002,00:15:C7:AA:D1:A4,-58
2K002,00:15:C7:AA:D1:A7,-57
2K002,00:15:C7:AA:D6:61,-73
2K002,00:15:C7:AA:D6:64,-73
2K002,00:15:C7:AA:D6:67,-73
2K002,00:15:C7:AB:06:01,-78
2K002,00:15:C7:AB:06:04,-78
2K002,00:15:C7:AB:06:07,-78
2K002,00:15:C7:AB:2D:E1,-80
2K002,00:15:C7:AB:2D:E4,-79
2K002,00:15:C7:AB:2D:E7,-79
2K002,00:16:9C:48:EF:E1,-67
2K002,00:16:9C:48:EF:E4,-67
2K002,00:16:9C:48:EF:E7,-67
2K002,00:16:9C:49:28:11,-71
2K002,00:16:9C:49:28:14,-71
2K002,00:16:9C:49:28:17,-71
2K002,00:19:07:8E:36:61,-78
2K002,00:19:07:8E:36:64,-78
2K002,00:19:07:8E:36:67,-78
2K002,9C:4E:20:C9:43:51,-77
2K002,9C:4E:20:C9:43:54,-77
2K002,9C:4E:20:C9:43:57,-77
2K003,00:12:44:B9:1C:D1,-81
2K003,00:12:44:B9:1C:D4,-81
2K003,00:12:44:B9:1C:D7,-80
2K003,00:15:C7:AA:D1:A1,-51
2K003,00:15:C7:AA:D1:A4,-50
2K003,00:15:C7:AA:D1:A7,-51
2K003,00:15:C7:AA:D5:31,-81
2K003,00:15:C7:AA:D5:34,-80
2K003,00:15:C7:AA:D5:37,-81
2K003,00:15:C7:AA:D6:61,-74
2K003,00:15:C7:AA:D6:64,-74
2K003,00:15:C7:AA:D6:67,-74
2K003,00:15:C7:AA:E3:81,-81
2K003,00:15:C7:AA:E3:84,-81
2K003,00:15:C7:AA:E3:87,-81
2K003,00:15:C7:AB:04:21,-79
2K003,00:15:C7:AB:04:24,-79
2K003,00:15:C7:AB:04:27,-79
2K003,00:15:C7:AB:06:07,-82
2K003,00:15:C7:AB:06:C1,-81
2K003,00:15:C7:AB:06:C4,-81
2K003,00:15:C7:AB:06:C7,-80
2K003,00:15:C7:AB:2D:E1,-80
2K003,00:15:C7:AB:2D:E4,-80
2K003,00:15:C7:AB:2D:E7,-80
2K003,00:16:9C:48:EF:E1,-69
2K003,00:16:9C:48:EF:E4,-69
2K003,00:16:9C:48:EF:E7,-69
2K003,00:16:9C:49:28:11,-67
2K003,00:16:9C:49:28:14,-66
2K003,00:16:9C:49:28:17,-67
2K003,9C:4E:20:C9:43:51,-80
2K003,9C:4E:20:C9:43:54,-79
2K003,9C:4E:20:C9:43:57,-79
2K004,00:12:44:B9:1C:D1,-75
2K004,00:12:44:B9:1C:D4,-75
2K004,00:12:44:B9:1C:D7,-75
2K004,00:15:C7:AA:D1:A1,-61
2K004,00:15:C7:AA:D1:A4,-61
2K004,00:15:C7:AA:D1:A7,-60
2K004,00:15:C7:AA:D5:31,-77
2K004,00:15:C7:AA:D5:37,-76
2K004,00:15:C7:AA:D6:61,-73
